epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.97	2.76	11.98||	16.78
1	0:0	0.1	2.73	2.59	18.256||	21.13
2	0:0	0.1	2.61	2.54	21.97||	23.53
3	0:0	0.1	2.54	2.53	24.188||	24.48
4	0:0	0.1	2.5	2.47	25.268||	25.38
5	0:0	0.1	2.46	2.42	26.346||	26.96
6	0:0	0.1	2.43	2.4	27.7||	27.53
7	0:0	0.1	2.42	2.36	27.822||	28.64
8	0:0	0.1	2.39	2.44	28.596||	26.46
9	0:0	0.1	2.38	2.33	29.066||	29.31
10	0:0	0.1	2.37	2.33	29.146||	29.1
11	0:0	0.1	2.37	2.34	29.418||	28.79
12	0:0	0.1	2.35	2.36	30.206||	27.81
13	0:0	0.1	2.34	2.32	29.918||	29.94
14	0:0	0.1	2.34	2.28	30.314||	30.81
15	0:0	0.1	2.33	2.3	30.472||	29.38
16	0:0	0.1	2.33	2.3	30.512||	29.5
17	0:0	0.1	2.32	2.31	30.792||	30.22
18	0:0	0.1	2.31	2.28	30.976||	31.43
19	0:0	0.1	2.31	2.28	30.934||	30.54
20	0:0	0.1	2.3	2.26	31.322||	31.84
21	0:0	0.1	2.31	2.29	31.184||	30.49
22	0:0	0.1	2.31	2.3	31.324||	30.54
23	0:0	0.1	2.31	2.31	31.158||	30.24
24	0:0	0.1	2.3	2.31	31.218||	29.94
25	0:0	0.1	2.3	2.29	31.122||	30.43
26	0:0	0.1	2.3	2.28	31.26||	31.46
27	0:0	0.1	2.29	2.33	31.69||	29.47
28	0:0	0.1	2.29	2.37	31.61||	27.79
29	0:0	0.1	2.29	2.27	31.494||	31.26
30	0:0	0.1	2.28	2.25	31.994||	31.68
31	0:0	0.1	2.28	2.24	32.072||	31.88
32	0:0	0.1	2.29	2.27	31.804||	30.73
33	0:0	0.1	2.28	2.24	31.91||	31.99
34	0:0	0.1	2.29	2.27	31.674||	31.32
35	0:0	0.1	2.28	2.34	31.94||	28.9
36	0:0	0.1	2.28	2.29	32.09||	31.08
37	0:0	0.1	2.27	2.32	32.198||	30.08
38	0:0	0.1	2.26	2.22	32.658||	32.38
39	0:0	0.1	2.28	2.29	31.94||	30.81
40	0:0	0.01	2.21	2.16	33.946||	35.22
41	0:0	0.01	2.15	2.12	35.832||	36.06
42	0:0	0.01	2.13	2.12	36.534||	35.81
43	0:0	0.01	2.11	2.11	36.956||	35.99
44	0:0	0.01	2.08	2.09	37.906||	35.71
45	0:0	0.01	2.07	2.08	37.956||	36.96
46	0:0	0.01	2.06	2.06	38.05||	37.57
47	0:0	0.01	2.04	2.07	38.77||	36.7
48	0:0	0.01	2.04	2.05	38.528||	38.22
49	0:0	0.01	2.02	2.05	39.278||	37.52
50	0:0	0.01	2.01	2.05	39.47||	37.78
51	0:0	0.01	2.02	2.03	39.53||	37.61
52	0:0	0.01	2.0	2.01	40.084||	38.66
53	0:0	0.01	1.99	2.01	39.94||	38.85
54	0:0	0.01	1.99	2.03	39.942||	38.58
55	0:0	0.01	1.98	2.03	40.134||	38.41
56	0:0	0.01	1.97	1.98	40.788||	39.81
57	0:0	0.01	1.97	1.99	40.64||	39.49
58	0:0	0.01	1.97	2.01	40.826||	39.17
59	0:0	0.01	1.96	2.01	40.926||	39.91
60	0:0	0.01	1.96	1.99	40.916||	39.89
61	0:0	0.01	1.94	2.0	41.43||	39.45
62	0:0	0.01	1.96	1.98	41.11||	39.84
63	0:0	0.01	1.95	1.98	41.372||	39.86
64	0:0	0.01	1.94	1.97	41.366||	40.17
65	0:0	0.01	1.94	1.98	41.302||	38.97
66	0:0	0.01	1.92	1.95	42.188||	40.86
67	0:0	0.01	1.93	1.96	41.838||	40.24
68	0:0	0.01	1.93	1.95	41.88||	41.2
69	0:0	0.01	1.93	1.96	41.894||	40.57
70	0:0	0.01	1.92	1.96	41.986||	40.39
71	0:0	0.01	1.9	1.95	42.322||	41.05
72	0:0	0.01	1.92	1.95	42.276||	41.0
73	0:0	0.01	1.91	1.94	42.34||	41.01
74	0:0	0.01	1.92	1.95	42.034||	40.48
75	0:0	0.01	1.9	1.94	42.514||	40.79
76	0:0	0.01	1.91	1.95	42.628||	40.93
77	0:0	0.01	1.9	1.94	42.59||	41.48
78	0:0	0.01	1.89	1.95	42.754||	40.78
79	0:0	0.01	1.9	1.95	42.746||	41.51
80	0:0	0.001	1.89	1.92	42.978||	41.84
81	0:0	0.001	1.89	1.94	42.82||	40.75
82	0:0	0.001	1.88	1.93	43.336||	41.07
83	0:0	0.001	1.88	1.92	43.384||	41.92
84	0:0	0.001	1.87	1.92	43.448||	41.28
85	0:0	0.001	1.87	1.92	43.466||	41.16
86	0:0	0.001	1.88	1.93	43.14||	41.37
87	0:0	0.001	1.88	1.91	43.234||	42.01
88	0:0	0.001	1.87	1.92	43.744||	41.37
89	0:0	0.001	1.88	1.93	43.166||	41.19
