epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.79	2.43	17.116||	26.94
1	0:0	0.1	2.28	2.19	30.726||	32.15
2	0:0	0.1	2.03	1.91	38.298||	42.05
3	0:0	0.1	1.87	1.9	42.81||	41.49
4	0:0	0.1	1.76	1.76	46.244||	45.46
5	0:0	0.1	1.68	1.7	48.762||	47.17
6	0:0	0.1	1.63	1.67	49.946||	48.53
7	0:0	0.1	1.58	1.61	51.332||	50.62
8	0:0	0.1	1.54	1.6	52.602||	50.99
9	0:0	0.1	1.51	1.63	53.416||	49.15
10	0:0	0.1	1.48	1.58	54.49||	51.45
11	0:0	0.1	1.46	1.52	54.902||	53.97
12	0:0	0.1	1.44	1.6	55.326||	50.74
13	0:0	0.1	1.43	1.51	56.074||	53.17
14	0:0	0.1	1.41	1.56	56.454||	51.2
15	0:0	0.1	1.39	1.45	56.892||	55.29
16	0:0	0.1	1.38	1.51	57.268||	53.34
17	0:0	0.1	1.37	1.46	57.678||	55.39
18	0:0	0.1	1.37	1.47	57.752||	54.1
19	0:0	0.1	1.34	1.47	58.266||	54.66
20	0:0	0.1	1.36	1.47	58.036||	55.1
21	0:0	0.1	1.32	1.53	59.144||	52.75
22	0:0	0.1	1.33	1.44	58.834||	55.0
23	0:0	0.1	1.33	1.46	58.864||	54.76
24	0:0	0.1	1.33	1.47	58.896||	54.87
25	0:0	0.1	1.31	1.48	59.422||	54.07
26	0:0	0.1	1.33	1.48	58.852||	54.71
27	0:0	0.1	1.3	1.47	59.872||	54.37
28	0:0	0.1	1.3	1.44	59.532||	54.77
29	0:0	0.1	1.29	1.44	59.896||	55.87
30	0:0	0.1	1.29	1.46	59.894||	54.15
31	0:0	0.1	1.3	1.42	59.57||	56.49
32	0:0	0.1	1.3	1.45	59.726||	54.41
33	0:0	0.1	1.3	1.44	59.836||	56.15
34	0:0	0.1	1.3	1.44	59.676||	56.12
35	0:0	0.1	1.29	1.43	60.1||	56.28
36	0:0	0.1	1.29	1.44	60.022||	56.17
37	0:0	0.1	1.28	1.48	60.586||	53.92
38	0:0	0.1	1.28	1.45	60.314||	55.25
39	0:0	0.1	1.27	1.46	60.504||	55.06
40	0:0	0.01	1.15	1.31	64.758||	59.66
41	0:0	0.01	1.08	1.27	66.69||	61.34
42	0:0	0.01	1.06	1.25	66.96||	62.22
43	0:0	0.01	1.04	1.24	67.938||	62.25
44	0:0	0.01	1.03	1.22	68.034||	62.37
45	0:0	0.01	1.01	1.23	68.44||	62.63
46	0:0	0.01	1.01	1.22	68.878||	62.54
47	0:0	0.01	1.0	1.2	69.148||	63.89
48	0:0	0.01	0.971	1.2	69.658||	63.46
49	0:0	0.01	0.98	1.2	69.5||	63.68
50	0:0	0.01	0.978	1.2	69.55||	62.93
51	0:0	0.01	0.96	1.18	70.396||	63.33
52	0:0	0.01	0.96	1.21	70.128||	62.22
53	0:0	0.01	0.967	1.18	70.076||	63.85
54	0:0	0.01	0.956	1.18	70.364||	63.34
55	0:0	0.01	0.961	1.18	70.232||	63.38
56	0:0	0.01	0.948	1.17	70.422||	64.83
57	0:0	0.01	0.938	1.16	70.772||	64.73
58	0:0	0.01	0.939	1.17	70.61||	63.82
59	0:0	0.01	0.931	1.15	70.908||	64.63
60	0:0	0.01	0.93	1.17	71.02||	64.33
61	0:0	0.01	0.933	1.14	70.932||	65.19
62	0:0	0.01	0.928	1.16	71.184||	64.27
63	0:0	0.01	0.917	1.15	71.512||	64.66
64	0:0	0.01	0.914	1.14	71.846||	64.93
65	0:0	0.01	0.912	1.15	71.624||	64.66
66	0:0	0.01	0.92	1.15	71.522||	64.16
67	0:0	0.01	0.916	1.16	71.486||	63.81
68	0:0	0.01	0.913	1.14	71.636||	65.18
69	0:0	0.01	0.911	1.14	71.668||	65.29
70	0:0	0.01	0.91	1.16	71.744||	64.45
71	0:0	0.01	0.903	1.15	71.984||	64.28
72	0:0	0.01	0.902	1.12	72.024||	65.32
73	0:0	0.01	0.906	1.15	71.868||	64.9
74	0:0	0.01	0.9	1.15	72.088||	65.14
75	0:0	0.01	0.891	1.13	72.272||	65.11
76	0:0	0.01	0.894	1.14	72.17||	65.16
77	0:0	0.01	0.895	1.14	72.388||	65.28
78	0:0	0.01	0.891	1.13	72.386||	65.32
79	0:0	0.01	0.887	1.13	72.388||	64.96
80	0:0	0.001	0.882	1.13	72.646||	65.34
81	0:0	0.001	0.891	1.12	72.202||	65.76
82	0:0	0.001	0.887	1.12	72.52||	65.55
83	0:0	0.001	0.875	1.12	73.032||	65.42
84	0:0	0.001	0.876	1.11	72.976||	66.76
85	0:0	0.001	0.881	1.12	72.736||	65.66
86	0:0	0.001	0.882	1.11	72.762||	65.9
87	0:0	0.001	0.874	1.11	72.952||	66.23
88	0:0	0.001	0.875	1.11	72.918||	66.21
89	0:0	0.001	0.883	1.12	72.658||	65.75
