epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.8	2.38	16.506||	29.3
1	0:0	0.1	2.27	2.1	31.162||	35.71
2	0:0	0.1	2.02	1.93	38.682||	41.06
3	0:0	0.1	1.87	1.8	42.758||	45.19
4	0:0	0.1	1.75	1.76	46.626||	46.36
5	0:0	0.1	1.68	1.7	48.376||	47.63
6	0:0	0.1	1.63	1.63	50.042||	49.99
7	0:0	0.1	1.59	1.64	51.04||	48.47
8	0:0	0.1	1.53	1.6	53.018||	49.51
9	0:0	0.1	1.51	1.54	53.572||	52.81
10	0:0	0.1	1.5	1.56	53.948||	51.86
11	0:0	0.1	1.48	1.61	54.556||	50.14
12	0:0	0.1	1.45	1.54	55.27||	52.44
13	0:0	0.1	1.44	1.54	55.564||	52.35
14	0:0	0.1	1.42	1.52	56.354||	53.1
15	0:0	0.1	1.41	1.54	56.418||	52.55
16	0:0	0.1	1.4	1.51	56.722||	52.98
17	0:0	0.1	1.38	1.48	57.494||	54.42
18	0:0	0.1	1.37	1.5	57.9||	54.21
19	0:0	0.1	1.35	1.45	58.016||	55.17
20	0:0	0.1	1.35	1.48	57.788||	54.32
21	0:0	0.1	1.34	1.47	58.514||	54.41
22	0:0	0.1	1.33	1.46	58.858||	54.6
23	0:0	0.1	1.32	1.47	59.024||	54.98
24	0:0	0.1	1.34	1.46	58.88||	55.26
25	0:0	0.1	1.33	1.48	59.05||	54.85
26	0:0	0.1	1.32	1.43	59.148||	55.86
27	0:0	0.1	1.31	1.44	59.184||	55.9
28	0:0	0.1	1.3	1.46	59.628||	54.7
29	0:0	0.1	1.31	1.44	59.51||	55.71
30	0:0	0.1	1.31	1.45	59.734||	55.38
31	0:0	0.1	1.3	1.4	59.65||	56.75
32	0:0	0.1	1.3	1.44	59.96||	55.86
33	0:0	0.1	1.29	1.43	59.82||	55.59
34	0:0	0.1	1.3	1.43	59.884||	55.57
35	0:0	0.1	1.29	1.43	60.074||	55.74
36	0:0	0.1	1.28	1.49	60.264||	53.32
37	0:0	0.1	1.29	1.42	60.016||	55.66
38	0:0	0.1	1.29	1.43	60.21||	55.68
39	0:0	0.1	1.27	1.36	60.522||	58.37
40	0:0	0.01	1.14	1.28	64.53||	61.24
41	0:0	0.01	1.08	1.26	66.46||	61.01
42	0:0	0.01	1.05	1.25	67.154||	61.34
43	0:0	0.01	1.05	1.24	67.578||	61.95
44	0:0	0.01	1.03	1.23	67.606||	62.21
45	0:0	0.01	1.0	1.21	69.118||	62.86
46	0:0	0.01	1.01	1.21	68.382||	63.02
47	0:0	0.01	0.998	1.2	68.996||	62.85
48	0:0	0.01	0.984	1.2	69.45||	63.1
49	0:0	0.01	0.981	1.2	69.474||	62.96
50	0:0	0.01	0.974	1.18	69.662||	63.59
51	0:0	0.01	0.966	1.2	70.048||	63.07
52	0:0	0.01	0.956	1.19	70.272||	63.33
53	0:0	0.01	0.958	1.18	70.14||	63.33
54	0:0	0.01	0.945	1.18	70.458||	63.72
55	0:0	0.01	0.95	1.18	70.406||	63.62
56	0:0	0.01	0.94	1.17	70.656||	63.98
57	0:0	0.01	0.936	1.17	71.066||	64.18
58	0:0	0.01	0.932	1.16	71.004||	64.31
59	0:0	0.01	0.936	1.16	70.96||	63.98
60	0:0	0.01	0.944	1.16	70.73||	64.18
61	0:0	0.01	0.934	1.18	71.026||	63.9
62	0:0	0.01	0.926	1.15	71.332||	64.64
63	0:0	0.01	0.929	1.13	71.09||	65.49
64	0:0	0.01	0.915	1.17	71.32||	64.21
65	0:0	0.01	0.926	1.14	71.264||	65.02
66	0:0	0.01	0.921	1.15	71.278||	64.34
67	0:0	0.01	0.923	1.14	71.362||	65.57
68	0:0	0.01	0.911	1.14	71.428||	65.29
69	0:0	0.01	0.914	1.15	71.638||	65.07
70	0:0	0.01	0.907	1.14	71.934||	65.24
71	0:0	0.01	0.897	1.15	72.026||	64.77
72	0:0	0.01	0.907	1.13	72.036||	65.16
73	0:0	0.01	0.898	1.14	72.152||	65.01
74	0:0	0.01	0.896	1.13	72.132||	64.89
75	0:0	0.01	0.899	1.14	72.222||	64.08
76	0:0	0.01	0.899	1.13	72.116||	64.87
77	0:0	0.01	0.898	1.14	72.312||	64.96
78	0:0	0.01	0.897	1.13	72.18||	65.43
79	0:0	0.01	0.895	1.14	72.298||	65.03
80	0:0	0.001	0.89	1.12	72.664||	66.14
81	0:0	0.001	0.871	1.12	73.108||	65.43
82	0:0	0.001	0.884	1.11	72.652||	65.51
83	0:0	0.001	0.873	1.12	72.888||	65.47
84	0:0	0.001	0.876	1.11	73.042||	65.55
85	0:0	0.001	0.879	1.12	72.768||	65.54
86	0:0	0.001	0.858	1.12	73.57||	65.84
87	0:0	0.001	0.861	1.11	73.532||	66.08
88	0:0	0.001	0.871	1.13	73.006||	64.99
89	0:0	0.001	0.877	1.11	72.602||	65.32
