epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.78	2.47	16.956||	23.98
1	0:0	0.1	2.28	2.08	31.048||	36.22
2	0:0	0.1	2.01	1.96	38.978||	39.38
3	0:0	0.1	1.87	1.85	43.12||	41.61
4	0:0	0.1	1.75	1.77	46.628||	45.15
5	0:0	0.1	1.67	1.69	48.53||	47.56
6	0:0	0.1	1.61	1.63	50.598||	49.63
7	0:0	0.1	1.57	1.67	51.58||	47.96
8	0:0	0.1	1.53	1.56	52.796||	52.8
9	0:0	0.1	1.5	1.62	54.044||	49.8
10	0:0	0.1	1.48	1.6	54.3||	50.62
11	0:0	0.1	1.46	1.55	54.836||	51.41
12	0:0	0.1	1.43	1.52	55.932||	52.76
13	0:0	0.1	1.41	1.54	56.438||	52.02
14	0:0	0.1	1.41	1.51	56.574||	53.54
15	0:0	0.1	1.39	1.51	57.104||	53.53
16	0:0	0.1	1.37	1.45	57.886||	55.93
17	0:0	0.1	1.37	1.49	57.49||	53.88
18	0:0	0.1	1.36	1.49	57.784||	54.25
19	0:0	0.1	1.35	1.48	58.18||	54.54
20	0:0	0.1	1.35	1.49	58.206||	53.24
21	0:0	0.1	1.33	1.44	58.864||	55.55
22	0:0	0.1	1.33	1.43	58.838||	56.11
23	0:0	0.1	1.32	1.48	59.26||	54.58
24	0:0	0.1	1.32	1.49	59.188||	54.03
25	0:0	0.1	1.3	1.45	59.496||	53.98
26	0:0	0.1	1.32	1.46	58.988||	55.02
27	0:0	0.1	1.31	1.44	59.632||	55.7
28	0:0	0.1	1.31	1.44	59.542||	55.66
29	0:0	0.1	1.3	1.42	59.992||	56.51
30	0:0	0.1	1.3	1.43	60.178||	56.22
31	0:0	0.1	1.3	1.47	60.034||	54.6
32	0:0	0.1	1.3	1.41	60.058||	56.01
33	0:0	0.1	1.28	1.45	60.066||	54.73
34	0:0	0.1	1.29	1.42	59.964||	56.2
35	0:0	0.1	1.28	1.44	60.322||	55.9
36	0:0	0.1	1.28	1.46	60.364||	55.43
37	0:0	0.1	1.28	1.42	60.308||	56.18
38	0:0	0.1	1.27	1.41	60.482||	57.41
39	0:0	0.1	1.28	1.43	60.624||	56.07
40	0:0	0.01	1.16	1.28	63.876||	61.0
41	0:0	0.01	1.09	1.27	66.238||	61.06
42	0:0	0.01	1.06	1.23	67.312||	61.96
43	0:0	0.01	1.04	1.23	67.618||	62.3
44	0:0	0.01	1.03	1.22	67.91||	62.58
45	0:0	0.01	1.0	1.22	69.008||	62.54
46	0:0	0.01	1.02	1.22	68.46||	62.17
47	0:0	0.01	0.997	1.18	68.796||	63.88
48	0:0	0.01	0.988	1.19	69.206||	62.96
49	0:0	0.01	0.964	1.19	69.818||	63.79
50	0:0	0.01	0.977	1.2	69.632||	62.56
51	0:0	0.01	0.965	1.18	69.836||	63.68
52	0:0	0.01	0.957	1.2	70.112||	62.47
53	0:0	0.01	0.951	1.17	70.32||	63.47
54	0:0	0.01	0.944	1.17	70.694||	64.37
55	0:0	0.01	0.948	1.17	70.394||	63.64
56	0:0	0.01	0.947	1.18	70.664||	63.71
57	0:0	0.01	0.938	1.18	70.782||	63.44
58	0:0	0.01	0.932	1.17	71.238||	63.86
59	0:0	0.01	0.929	1.17	70.9||	64.52
60	0:0	0.01	0.927	1.15	71.016||	64.92
61	0:0	0.01	0.924	1.18	71.358||	63.28
62	0:0	0.01	0.927	1.16	71.112||	64.66
63	0:0	0.01	0.922	1.15	71.356||	64.17
64	0:0	0.01	0.926	1.14	71.188||	64.79
65	0:0	0.01	0.909	1.14	71.97||	64.64
66	0:0	0.01	0.923	1.13	71.47||	65.31
67	0:0	0.01	0.913	1.15	71.568||	64.53
68	0:0	0.01	0.911	1.15	71.676||	64.62
69	0:0	0.01	0.913	1.14	71.62||	64.89
70	0:0	0.01	0.916	1.16	71.658||	64.32
71	0:0	0.01	0.904	1.15	71.964||	64.58
72	0:0	0.01	0.901	1.15	71.97||	64.71
73	0:0	0.01	0.902	1.13	72.056||	65.03
74	0:0	0.01	0.894	1.12	72.346||	65.48
75	0:0	0.01	0.9	1.13	72.126||	64.89
76	0:0	0.01	0.894	1.14	72.032||	64.75
77	0:0	0.01	0.897	1.14	72.484||	65.09
78	0:0	0.01	0.896	1.11	72.19||	66.01
79	0:0	0.01	0.891	1.13	72.33||	65.84
80	0:0	0.001	0.89	1.12	72.39||	65.57
81	0:0	0.001	0.883	1.13	72.786||	65.55
82	0:0	0.001	0.868	1.1	73.07||	66.17
83	0:0	0.001	0.87	1.12	73.022||	65.42
84	0:0	0.001	0.868	1.12	72.966||	65.8
85	0:0	0.001	0.877	1.11	72.972||	65.95
86	0:0	0.001	0.878	1.11	72.716||	66.05
87	0:0	0.001	0.871	1.13	73.02||	65.78
88	0:0	0.001	0.863	1.12	73.3||	65.81
89	0:0	0.001	0.867	1.11	73.292||	65.68
