epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.96	2.78	12.274||	16.09
1	0:0	0.1	2.74	2.57	18.316||	22.76
2	0:0	0.1	2.61	2.53	21.964||	22.64
3	0:0	0.1	2.55	2.47	23.712||	25.25
4	0:0	0.1	2.51	2.48	24.89||	24.74
5	0:0	0.1	2.47	2.39	26.174||	27.58
6	0:0	0.1	2.44	2.4	27.006||	26.84
7	0:0	0.1	2.42	2.36	27.658||	29.76
8	0:0	0.1	2.4	2.33	28.3||	29.24
9	0:0	0.1	2.38	2.35	28.772||	28.82
10	0:0	0.1	2.38	2.36	28.908||	27.89
11	0:0	0.1	2.37	2.32	29.084||	31.1
12	0:0	0.1	2.35	2.3	29.748||	29.11
13	0:0	0.1	2.34	2.32	30.236||	29.36
14	0:0	0.1	2.35	2.33	29.9||	30.37
15	0:0	0.1	2.34	2.35	30.134||	29.33
16	0:0	0.1	2.33	2.3	30.216||	30.57
17	0:0	0.1	2.33	2.3	30.728||	29.36
18	0:0	0.1	2.32	2.26	30.658||	31.33
19	0:0	0.1	2.3	2.3	31.286||	29.96
20	0:0	0.1	2.32	2.32	30.748||	29.93
21	0:0	0.1	2.31	2.29	31.3||	30.93
22	0:0	0.1	2.32	2.31	30.834||	30.17
23	0:0	0.1	2.3	2.29	31.198||	30.68
24	0:0	0.1	2.29	2.28	31.382||	30.79
25	0:0	0.1	2.29	2.23	31.73||	32.76
26	0:0	0.1	2.29	2.26	31.708||	31.01
27	0:0	0.1	2.29	2.28	31.826||	31.15
28	0:0	0.1	2.28	2.24	31.95||	32.21
29	0:0	0.1	2.28	2.25	31.92||	32.14
30	0:0	0.1	2.3	2.29	31.616||	30.1
31	0:0	0.1	2.28	2.31	31.976||	29.93
32	0:0	0.1	2.29	2.29	31.498||	30.45
33	0:0	0.1	2.29	2.28	31.72||	30.69
34	0:0	0.1	2.28	2.27	32.212||	31.97
35	0:0	0.1	2.28	2.27	32.03||	31.13
36	0:0	0.1	2.28	2.24	31.888||	32.5
37	0:0	0.1	2.27	2.28	32.304||	30.48
38	0:0	0.1	2.28	2.25	31.83||	32.17
39	0:0	0.1	2.27	2.29	32.126||	31.03
40	0:0	0.01	2.2	2.16	34.134||	34.7
41	0:0	0.01	2.15	2.15	36.134||	34.83
42	0:0	0.01	2.13	2.11	36.432||	36.37
43	0:0	0.01	2.1	2.11	37.038||	36.05
44	0:0	0.01	2.09	2.08	37.694||	37.4
45	0:0	0.01	2.08	2.08	37.774||	36.65
46	0:0	0.01	2.06	2.07	38.262||	37.31
47	0:0	0.01	2.05	2.06	38.648||	36.95
48	0:0	0.01	2.02	2.05	39.244||	37.62
49	0:0	0.01	2.04	2.03	38.68||	38.42
50	0:0	0.01	2.02	2.06	39.358||	37.6
51	0:0	0.01	2.01	2.04	39.586||	37.66
52	0:0	0.01	2.0	2.01	39.766||	38.97
53	0:0	0.01	2.0	2.03	40.02||	38.35
54	0:0	0.01	2.0	1.99	40.004||	39.45
55	0:0	0.01	1.98	2.0	40.562||	39.19
56	0:0	0.01	1.98	2.01	40.752||	39.06
57	0:0	0.01	1.98	2.0	40.152||	39.13
58	0:0	0.01	1.96	2.0	41.064||	39.19
59	0:0	0.01	1.96	1.99	40.91||	40.1
60	0:0	0.01	1.96	1.98	41.214||	40.12
61	0:0	0.01	1.95	2.0	41.302||	39.06
62	0:0	0.01	1.95	2.01	41.276||	39.39
63	0:0	0.01	1.94	2.0	41.81||	39.22
64	0:0	0.01	1.94	2.0	41.508||	39.77
65	0:0	0.01	1.95	1.99	41.344||	39.7
66	0:0	0.01	1.93	1.97	41.724||	40.08
67	0:0	0.01	1.92	1.97	41.948||	39.97
68	0:0	0.01	1.93	1.97	41.774||	40.22
69	0:0	0.01	1.92	1.96	42.366||	40.05
70	0:0	0.01	1.92	1.96	42.178||	40.31
71	0:0	0.01	1.91	1.95	42.382||	40.96
72	0:0	0.01	1.92	1.95	42.262||	40.61
73	0:0	0.01	1.91	1.96	42.25||	40.5
74	0:0	0.01	1.9	1.96	42.438||	40.25
75	0:0	0.01	1.9	1.93	42.256||	41.93
76	0:0	0.01	1.9	1.94	42.704||	41.08
77	0:0	0.01	1.91	1.94	42.792||	41.04
78	0:0	0.01	1.91	1.93	42.196||	41.23
79	0:0	0.01	1.92	1.95	42.37||	41.33
80	0:0	0.001	1.89	1.93	43.006||	40.99
81	0:0	0.001	1.89	1.94	42.846||	40.63
82	0:0	0.001	1.87	1.93	43.516||	41.61
83	0:0	0.001	1.88	1.92	43.194||	42.21
84	0:0	0.001	1.88	1.93	43.418||	41.33
85	0:0	0.001	1.87	1.92	43.526||	41.15
86	0:0	0.001	1.87	1.91	43.816||	41.78
87	0:0	0.001	1.89	1.92	43.308||	41.22
88	0:0	0.001	1.87	1.92	43.5||	41.67
89	0:0	0.001	1.88	1.92	43.834||	41.19
