epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.79	2.45	17.024||	24.72
1	0:0	0.1	2.28	2.07	30.876||	37.83
2	0:0	0.1	2.02	1.92	38.712||	40.65
3	0:0	0.1	1.86	1.79	43.32||	45.48
4	0:0	0.1	1.75	1.77	46.3||	44.69
5	0:0	0.1	1.68	1.71	48.306||	47.16
6	0:0	0.1	1.62	1.65	50.09||	48.94
7	0:0	0.1	1.58	1.64	51.72||	48.89
8	0:0	0.1	1.54	1.6	52.768||	50.81
9	0:0	0.1	1.5	1.61	53.688||	51.21
10	0:0	0.1	1.48	1.54	54.362||	52.77
11	0:0	0.1	1.46	1.55	54.898||	52.21
12	0:0	0.1	1.44	1.52	55.578||	52.75
13	0:0	0.1	1.42	1.5	56.248||	53.47
14	0:0	0.1	1.41	1.52	56.424||	53.0
15	0:0	0.1	1.38	1.53	56.88||	53.33
16	0:0	0.1	1.38	1.53	57.384||	52.92
17	0:0	0.1	1.37	1.46	57.35||	55.02
18	0:0	0.1	1.36	1.46	57.976||	55.48
19	0:0	0.1	1.35	1.47	58.29||	54.3
20	0:0	0.1	1.35	1.46	58.376||	55.48
21	0:0	0.1	1.34	1.45	58.696||	55.05
22	0:0	0.1	1.32	1.48	59.048||	54.15
23	0:0	0.1	1.33	1.44	58.832||	55.67
24	0:0	0.1	1.33	1.49	58.812||	53.52
25	0:0	0.1	1.33	1.46	59.006||	55.01
26	0:0	0.1	1.32	1.45	59.39||	55.19
27	0:0	0.1	1.3	1.51	59.93||	52.98
28	0:0	0.1	1.32	1.46	59.2||	54.6
29	0:0	0.1	1.3	1.46	59.998||	54.9
30	0:0	0.1	1.29	1.5	60.032||	53.56
31	0:0	0.1	1.3	1.42	59.976||	56.6
32	0:0	0.1	1.29	1.4	60.18||	56.56
33	0:0	0.1	1.29	1.45	60.14||	55.79
34	0:0	0.1	1.29	1.42	60.338||	56.4
35	0:0	0.1	1.29	1.42	59.84||	56.61
36	0:0	0.1	1.29	1.41	59.922||	56.27
37	0:0	0.1	1.28	1.47	60.366||	55.03
38	0:0	0.1	1.27	1.43	60.71||	56.37
39	0:0	0.1	1.27	1.38	60.418||	57.91
40	0:0	0.01	1.15	1.29	64.63||	60.63
41	0:0	0.01	1.09	1.27	66.178||	61.67
42	0:0	0.01	1.07	1.25	67.008||	61.8
43	0:0	0.01	1.04	1.24	67.832||	61.97
44	0:0	0.01	1.02	1.22	68.308||	62.8
45	0:0	0.01	1.02	1.22	68.302||	62.6
46	0:0	0.01	1.02	1.21	68.436||	63.05
47	0:0	0.01	0.989	1.19	69.556||	63.46
48	0:0	0.01	0.987	1.22	69.154||	62.62
49	0:0	0.01	0.972	1.2	69.552||	62.91
50	0:0	0.01	0.981	1.19	69.304||	63.14
51	0:0	0.01	0.969	1.19	69.776||	63.76
52	0:0	0.01	0.956	1.18	70.332||	63.83
53	0:0	0.01	0.964	1.17	69.988||	64.04
54	0:0	0.01	0.949	1.18	70.508||	63.46
55	0:0	0.01	0.955	1.17	70.13||	63.92
56	0:0	0.01	0.945	1.15	70.448||	64.71
57	0:0	0.01	0.946	1.16	70.524||	64.56
58	0:0	0.01	0.941	1.15	70.848||	64.34
59	0:0	0.01	0.933	1.16	71.006||	64.55
60	0:0	0.01	0.927	1.17	71.344||	64.32
61	0:0	0.01	0.938	1.16	70.458||	64.32
62	0:0	0.01	0.932	1.16	70.722||	64.47
63	0:0	0.01	0.937	1.16	70.83||	63.72
64	0:0	0.01	0.918	1.14	71.698||	65.26
65	0:0	0.01	0.914	1.13	71.648||	65.5
66	0:0	0.01	0.918	1.15	71.238||	64.61
67	0:0	0.01	0.923	1.14	71.532||	65.02
68	0:0	0.01	0.902	1.14	71.794||	64.84
69	0:0	0.01	0.911	1.14	71.798||	64.65
70	0:0	0.01	0.914	1.15	71.686||	64.41
71	0:0	0.01	0.9	1.13	71.99||	65.66
72	0:0	0.01	0.901	1.14	72.054||	64.7
73	0:0	0.01	0.904	1.13	71.998||	65.11
74	0:0	0.01	0.899	1.12	71.946||	65.91
75	0:0	0.01	0.899	1.12	72.034||	65.4
76	0:0	0.01	0.891	1.14	72.536||	65.03
77	0:0	0.01	0.899	1.13	72.138||	65.53
78	0:0	0.01	0.889	1.14	72.358||	65.01
79	0:0	0.01	0.887	1.12	72.586||	65.76
80	0:0	0.001	0.889	1.12	72.24||	65.88
81	0:0	0.001	0.882	1.13	72.544||	65.43
82	0:0	0.001	0.879	1.12	72.632||	65.63
83	0:0	0.001	0.873	1.12	72.948||	65.47
84	0:0	0.001	0.868	1.11	73.24||	66.08
85	0:0	0.001	0.874	1.11	72.882||	65.55
86	0:0	0.001	0.868	1.11	72.986||	66.34
87	0:0	0.001	0.872	1.12	72.914||	65.61
88	0:0	0.001	0.864	1.11	73.25||	65.29
89	0:0	0.001	0.865	1.11	73.46||	66.08
