epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.67	2.29	20.048||	30.49
1	0:0	0.1	2.0	1.82	39.346||	45.2
2	0:0	0.1	1.67	1.6	48.624||	51.43
3	0:0	0.1	1.48	1.5	54.226||	53.96
4	0:0	0.1	1.35	1.42	58.494||	55.78
5	0:0	0.1	1.25	1.36	61.272||	57.8
6	0:0	0.1	1.18	1.27	63.344||	60.44
7	0:0	0.1	1.12	1.27	65.08||	61.07
8	0:0	0.1	1.06	1.28	66.918||	60.32
9	0:0	0.1	1.02	1.22	67.96||	62.57
10	0:0	0.1	1.02	1.21	68.51||	62.75
11	0:0	0.1	0.968	1.23	69.858||	61.66
12	0:0	0.1	0.934	1.2	70.686||	62.63
13	0:0	0.1	0.929	1.16	71.108||	64.97
14	0:0	0.1	0.914	1.15	71.036||	64.91
15	0:0	0.1	0.908	1.18	71.654||	63.51
16	0:0	0.1	0.885	1.12	72.188||	65.45
17	0:0	0.1	0.881	1.14	72.28||	65.19
18	0:0	0.1	0.848	1.12	73.422||	65.83
19	0:0	0.1	0.844	1.13	73.492||	65.76
20	0:0	0.1	0.836	1.11	73.844||	65.98
21	0:0	0.1	0.831	1.07	73.84||	67.28
22	0:0	0.1	0.83	1.11	74.104||	65.79
23	0:0	0.1	0.83	1.1	74.114||	65.75
24	0:0	0.1	0.817	1.09	74.508||	66.12
25	0:0	0.1	0.82	1.09	74.262||	67.14
26	0:0	0.1	0.809	1.08	74.616||	66.52
27	0:0	0.1	0.79	1.09	75.47||	66.6
28	0:0	0.1	0.783	1.1	75.402||	66.26
29	0:0	0.1	0.789	1.06	75.136||	67.46
30	0:0	0.1	0.785	1.05	75.216||	67.79
31	0:0	0.1	0.783	1.1	75.434||	67.11
32	0:0	0.1	0.775	1.05	75.71||	67.37
33	0:0	0.1	0.774	1.06	75.638||	67.61
34	0:0	0.1	0.775	1.07	75.652||	67.62
35	0:0	0.1	0.763	1.06	76.08||	66.85
36	0:0	0.1	0.763	1.05	76.1||	68.29
37	0:0	0.1	0.769	1.06	75.734||	68.01
38	0:0	0.1	0.762	1.08	76.048||	67.13
39	0:0	0.1	0.77	1.04	75.93||	68.02
40	0:0	0.01	0.611	0.927	81.01||	71.49
41	0:0	0.01	0.563	0.9	82.698||	72.53
42	0:0	0.01	0.538	0.901	83.488||	72.45
43	0:0	0.01	0.521	0.891	83.978||	72.75
44	0:0	0.01	0.522	0.871	83.956||	73.92
45	0:0	0.01	0.498	0.875	84.68||	73.08
46	0:0	0.01	0.505	0.857	84.342||	73.95
47	0:0	0.01	0.494	0.866	84.796||	73.67
48	0:0	0.01	0.49	0.863	84.934||	73.73
49	0:0	0.01	0.487	0.862	85.076||	74.0
50	0:0	0.01	0.481	0.854	85.37||	73.98
51	0:0	0.01	0.479	0.848	85.384||	74.0
52	0:0	0.01	0.484	0.859	85.306||	73.8
53	0:0	0.01	0.479	0.848	85.394||	74.23
54	0:0	0.01	0.476	0.86	85.416||	73.83
55	0:0	0.01	0.467	0.849	85.832||	74.17
56	0:0	0.01	0.47	0.845	85.654||	74.3
57	0:0	0.01	0.466	0.854	85.894||	73.94
58	0:0	0.01	0.469	0.852	85.66||	74.33
59	0:0	0.01	0.46	0.846	86.058||	74.53
60	0:0	0.01	0.461	0.854	86.098||	73.95
61	0:0	0.01	0.462	0.846	86.116||	74.34
62	0:0	0.01	0.468	0.839	85.77||	74.32
63	0:0	0.01	0.454	0.843	86.23||	74.75
64	0:0	0.01	0.469	0.84	85.802||	74.57
65	0:0	0.01	0.458	0.846	86.248||	74.4
66	0:0	0.01	0.458	0.849	86.174||	74.22
67	0:0	0.01	0.454	0.836	86.342||	74.79
68	0:0	0.01	0.462	0.827	86.07||	75.02
69	0:0	0.01	0.455	0.837	86.354||	74.46
70	0:0	0.01	0.453	0.836	86.42||	74.76
71	0:0	0.01	0.456	0.848	86.412||	74.03
72	0:0	0.01	0.447	0.839	86.476||	74.58
73	0:0	0.01	0.451	0.836	86.536||	74.81
74	0:0	0.01	0.45	0.825	86.674||	75.11
75	0:0	0.01	0.448	0.839	86.698||	74.32
76	0:0	0.01	0.442	0.833	86.872||	75.0
77	0:0	0.01	0.445	0.832	86.624||	75.3
78	0:0	0.01	0.449	0.828	86.582||	75.05
79	0:0	0.01	0.446	0.824	86.842||	74.77
80	0:0	0.001	0.439	0.822	86.982||	75.22
81	0:0	0.001	0.431	0.815	87.314||	75.15
82	0:0	0.001	0.438	0.825	86.882||	75.43
83	0:0	0.001	0.433	0.82	87.154||	75.13
84	0:0	0.001	0.436	0.815	86.978||	75.37
85	0:0	0.001	0.434	0.823	87.106||	75.43
86	0:0	0.001	0.44	0.811	86.848||	75.34
87	0:0	0.001	0.428	0.813	87.342||	75.07
88	0:0	0.001	0.431	0.818	87.304||	75.16
89	0:0	0.001	0.434	0.818	87.252||	75.32
