epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	3.14	3.04	7.348||	10.31
1	0:0	0.1	3.08	3.03	9.4||	10.63
2	0:0	0.1	3.07	3.0	9.768||	10.54
3	0:0	0.1	3.06	3.03	9.91||	10.1
4	0:0	0.1	3.04	2.99	10.574||	11.5
5	0:0	0.1	3.04	3.03	10.312||	9.44
6	0:0	0.1	3.04	3.02	10.32||	10.32
7	0:0	0.1	3.03	2.99	10.982||	11.06
8	0:0	0.1	3.03	3.05	10.62||	9.29
9	0:0	0.1	3.03	2.99	10.732||	10.75
10	0:0	0.1	3.02	3.01	11.102||	10.78
11	0:0	0.1	3.02	3.03	11.036||	9.98
12	0:0	0.1	3.02	2.98	10.856||	11.52
13	0:0	0.1	3.02	2.97	11.098||	11.92
14	0:0	0.1	3.02	2.95	11.24||	12.61
15	0:0	0.1	3.01	2.98	11.246||	10.94
16	0:0	0.1	3.01	3.01	11.354||	10.7
17	0:0	0.1	3.01	2.99	11.498||	10.81
18	0:0	0.1	3.02	3.03	11.41||	10.13
19	0:0	0.1	3.01	2.97	11.364||	12.82
20	0:0	0.1	3.01	2.99	11.322||	11.38
21	0:0	0.1	3.01	3.02	11.384||	10.38
22	0:0	0.1	3.01	2.97	11.464||	12.05
23	0:0	0.1	3.01	3.01	11.562||	9.73
24	0:0	0.1	3.01	3.0	11.412||	11.25
25	0:0	0.1	3.01	2.97	11.696||	12.5
26	0:0	0.1	3.01	3.03	11.614||	10.08
27	0:0	0.1	3.0	2.96	11.766||	12.18
28	0:0	0.1	3.01	3.0	11.548||	11.52
29	0:0	0.1	3.01	3.01	11.602||	10.0
30	0:0	0.1	3.01	3.02	11.426||	10.0
31	0:0	0.1	3.01	3.0	11.654||	11.57
32	0:0	0.1	3.01	2.97	11.724||	11.5
33	0:0	0.1	3.01	2.96	11.55||	11.96
34	0:0	0.1	3.0	2.99	11.906||	10.63
35	0:0	0.1	3.01	2.96	11.634||	12.17
36	0:0	0.1	3.01	2.98	11.71||	10.9
37	0:0	0.1	3.01	3.0	11.55||	11.35
38	0:0	0.1	3.01	2.95	11.838||	12.37
39	0:0	0.1	3.01	2.98	11.482||	10.9
40	0:0	0.01	2.99	2.95	12.06||	12.58
41	0:0	0.01	2.97	2.94	12.776||	12.5
42	0:0	0.01	2.95	2.91	13.22||	13.74
43	0:0	0.01	2.94	2.91	13.496||	13.64
44	0:0	0.01	2.94	2.89	13.578||	14.29
45	0:0	0.01	2.93	2.9	13.726||	13.8
46	0:0	0.01	2.93	2.9	13.518||	13.97
47	0:0	0.01	2.92	2.89	14.248||	13.59
48	0:0	0.01	2.92	2.89	14.16||	13.62
49	0:0	0.01	2.92	2.89	14.16||	14.1
50	0:0	0.01	2.91	2.89	14.248||	13.89
51	0:0	0.01	2.9	2.88	14.63||	14.32
52	0:0	0.01	2.9	2.87	14.588||	14.38
53	0:0	0.01	2.9	2.87	14.486||	15.08
54	0:0	0.01	2.9	2.88	14.834||	15.02
55	0:0	0.01	2.89	2.86	14.866||	15.06
56	0:0	0.01	2.88	2.87	15.126||	15.03
57	0:0	0.01	2.89	2.87	14.744||	15.32
58	0:0	0.01	2.88	2.85	14.994||	15.09
59	0:0	0.01	2.88	2.85	15.352||	15.0
60	0:0	0.01	2.88	2.86	15.236||	14.73
61	0:0	0.01	2.87	2.87	15.46||	13.73
62	0:0	0.01	2.87	2.83	15.49||	15.63
63	0:0	0.01	2.88	2.85	15.296||	15.64
64	0:0	0.01	2.87	2.84	15.838||	15.42
65	0:0	0.01	2.87	2.85	15.562||	15.35
66	0:0	0.01	2.86	2.84	15.874||	15.12
67	0:0	0.01	2.86	2.84	15.724||	15.94
68	0:0	0.01	2.86	2.83	15.868||	15.41
69	0:0	0.01	2.86	2.82	15.91||	15.82
70	0:0	0.01	2.85	2.84	15.988||	15.3
71	0:0	0.01	2.85	2.83	15.948||	15.18
72	0:0	0.01	2.85	2.82	15.84||	15.64
73	0:0	0.01	2.85	2.83	16.22||	16.33
74	0:0	0.01	2.84	2.82	16.5||	16.14
75	0:0	0.01	2.85	2.84	16.184||	14.76
76	0:0	0.01	2.85	2.81	16.252||	16.97
77	0:0	0.01	2.85	2.83	15.868||	16.07
78	0:0	0.01	2.84	2.82	16.56||	16.05
79	0:0	0.01	2.85	2.82	16.19||	16.62
80	0:0	0.001	2.84	2.81	16.212||	15.79
81	0:0	0.001	2.84	2.82	16.394||	16.14
82	0:0	0.001	2.84	2.81	16.412||	16.62
83	0:0	0.001	2.84	2.81	16.572||	16.52
84	0:0	0.001	2.84	2.81	16.578||	16.24
85	0:0	0.001	2.84	2.8	16.24||	17.0
86	0:0	0.001	2.84	2.82	16.696||	16.37
87	0:0	0.001	2.83	2.82	16.904||	16.5
88	0:0	0.001	2.83	2.81	16.624||	16.49
89	0:0	0.001	2.83	2.8	16.548||	16.77
