epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	3.15	3.11	7.402||	7.92
1	0:0	0.1	3.09	3.04	8.88||	9.48
2	0:0	0.1	3.06	3.07	10.046||	8.13
3	0:0	0.1	3.05	3.0	10.076||	11.02
4	0:0	0.1	3.05	3.03	10.268||	9.46
5	0:0	0.1	3.03	3.0	10.52||	11.3
6	0:0	0.1	3.03	3.02	10.666||	10.04
7	0:0	0.1	3.03	3.0	10.772||	10.8
8	0:0	0.1	3.03	2.97	11.006||	12.13
9	0:0	0.1	3.02	3.01	11.07||	11.13
10	0:0	0.1	3.03	3.0	11.002||	10.33
11	0:0	0.1	3.02	2.99	11.17||	10.67
12	0:0	0.1	3.02	3.01	11.088||	10.65
13	0:0	0.1	3.02	2.98	11.208||	11.47
14	0:0	0.1	3.01	2.98	11.612||	12.53
15	0:0	0.1	3.02	2.98	11.2||	11.35
16	0:0	0.1	3.01	2.98	11.568||	11.09
17	0:0	0.1	3.02	3.03	11.538||	9.5
18	0:0	0.1	3.01	2.97	11.298||	11.81
19	0:0	0.1	3.01	3.02	11.14||	9.75
20	0:0	0.1	3.02	2.97	11.4||	11.91
21	0:0	0.1	3.01	3.0	11.476||	11.26
22	0:0	0.1	3.01	2.99	11.492||	10.33
23	0:0	0.1	3.01	3.0	11.544||	10.28
24	0:0	0.1	3.01	2.97	11.498||	11.12
25	0:0	0.1	3.01	3.0	11.478||	11.21
26	0:0	0.1	3.01	3.03	11.546||	9.34
27	0:0	0.1	3.01	3.0	11.656||	10.27
28	0:0	0.1	3.01	2.97	11.338||	12.16
29	0:0	0.1	3.0	2.98	11.682||	11.92
30	0:0	0.1	3.01	2.97	11.696||	11.88
31	0:0	0.1	3.0	2.99	11.924||	11.24
32	0:0	0.1	3.01	2.98	11.692||	11.57
33	0:0	0.1	3.01	2.99	11.84||	10.74
34	0:0	0.1	3.01	2.96	11.422||	11.56
35	0:0	0.1	3.01	3.01	11.61||	11.07
36	0:0	0.1	3.01	2.98	11.544||	11.85
37	0:0	0.1	3.01	3.02	11.628||	9.36
38	0:0	0.1	3.01	2.96	11.594||	12.32
39	0:0	0.1	3.01	2.96	11.324||	12.38
40	0:0	0.01	2.99	2.94	12.078||	12.54
41	0:0	0.01	2.96	2.93	13.2||	13.03
42	0:0	0.01	2.95	2.91	13.192||	13.2
43	0:0	0.01	2.95	2.91	13.582||	14.11
44	0:0	0.01	2.93	2.9	14.002||	13.83
45	0:0	0.01	2.93	2.9	14.108||	13.72
46	0:0	0.01	2.92	2.9	14.226||	13.39
47	0:0	0.01	2.92	2.9	14.256||	13.8
48	0:0	0.01	2.91	2.87	14.202||	14.57
49	0:0	0.01	2.91	2.89	14.312||	14.46
50	0:0	0.01	2.9	2.89	14.576||	13.85
51	0:0	0.01	2.9	2.87	14.782||	14.36
52	0:0	0.01	2.9	2.86	14.458||	14.39
53	0:0	0.01	2.9	2.88	14.886||	13.85
54	0:0	0.01	2.89	2.85	15.042||	14.69
55	0:0	0.01	2.89	2.85	15.056||	15.17
56	0:0	0.01	2.89	2.85	15.256||	15.63
57	0:0	0.01	2.88	2.87	15.458||	14.52
58	0:0	0.01	2.88	2.85	15.128||	15.27
59	0:0	0.01	2.88	2.87	15.374||	14.18
60	0:0	0.01	2.88	2.83	15.35||	15.78
61	0:0	0.01	2.87	2.86	15.642||	14.65
62	0:0	0.01	2.86	2.84	15.472||	15.62
63	0:0	0.01	2.86	2.83	15.59||	15.4
64	0:0	0.01	2.87	2.86	15.808||	15.22
65	0:0	0.01	2.87	2.83	15.696||	16.02
66	0:0	0.01	2.86	2.85	15.69||	15.23
67	0:0	0.01	2.86	2.84	15.924||	16.01
68	0:0	0.01	2.85	2.83	15.806||	15.66
69	0:0	0.01	2.85	2.82	15.754||	16.14
70	0:0	0.01	2.85	2.82	16.254||	15.88
71	0:0	0.01	2.86	2.83	15.748||	15.59
72	0:0	0.01	2.85	2.81	15.992||	16.75
73	0:0	0.01	2.85	2.83	16.07||	16.04
74	0:0	0.01	2.85	2.84	16.124||	15.65
75	0:0	0.01	2.85	2.81	16.158||	16.77
76	0:0	0.01	2.85	2.82	16.272||	16.68
77	0:0	0.01	2.84	2.8	16.102||	16.98
78	0:0	0.01	2.84	2.84	16.276||	15.2
79	0:0	0.01	2.85	2.83	16.004||	15.9
80	0:0	0.001	2.84	2.82	16.628||	16.09
81	0:0	0.001	2.84	2.82	16.152||	15.76
82	0:0	0.001	2.83	2.81	16.572||	16.57
83	0:0	0.001	2.84	2.83	16.342||	15.87
84	0:0	0.001	2.83	2.81	16.684||	16.24
85	0:0	0.001	2.84	2.81	16.34||	16.03
86	0:0	0.001	2.83	2.8	16.606||	17.11
87	0:0	0.001	2.84	2.81	16.466||	16.45
88	0:0	0.001	2.84	2.79	16.468||	16.63
89	0:0	0.001	2.83	2.82	16.768||	15.88
