epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	3.14	3.09	7.568||	9.05
1	0:0	0.1	3.08	3.02	9.078||	10.73
2	0:0	0.1	3.06	3.01	9.548||	10.11
3	0:0	0.1	3.05	3.02	10.416||	10.68
4	0:0	0.1	3.04	3.01	10.708||	10.81
5	0:0	0.1	3.04	3.01	10.458||	9.84
6	0:0	0.1	3.03	3.02	10.73||	9.84
7	0:0	0.1	3.03	2.98	10.674||	11.14
8	0:0	0.1	3.03	3.01	10.926||	10.62
9	0:0	0.1	3.02	2.97	10.906||	12.45
10	0:0	0.1	3.03	3.0	10.928||	10.9
11	0:0	0.1	3.02	3.0	10.994||	10.4
12	0:0	0.1	3.02	2.97	11.492||	11.26
13	0:0	0.1	3.02	2.98	11.132||	11.93
14	0:0	0.1	3.02	2.97	10.93||	11.75
15	0:0	0.1	3.02	2.99	11.616||	11.47
16	0:0	0.1	3.01	2.97	11.516||	12.09
17	0:0	0.1	3.01	3.01	11.548||	10.62
18	0:0	0.1	3.02	3.01	11.092||	9.43
19	0:0	0.1	3.01	2.97	11.28||	12.06
20	0:0	0.1	3.01	2.99	11.372||	10.08
21	0:0	0.1	3.01	2.98	11.342||	11.31
22	0:0	0.1	3.02	2.97	11.276||	12.46
23	0:0	0.1	3.02	3.01	11.244||	10.5
24	0:0	0.1	3.01	2.95	11.44||	12.42
25	0:0	0.1	3.0	2.99	11.74||	10.82
26	0:0	0.1	3.01	2.97	11.284||	11.24
27	0:0	0.1	3.01	3.0	11.566||	10.73
28	0:0	0.1	3.01	3.01	11.728||	10.24
29	0:0	0.1	3.01	3.0	11.548||	10.78
30	0:0	0.1	3.01	2.96	11.55||	12.15
31	0:0	0.1	3.01	3.0	11.448||	11.35
32	0:0	0.1	3.01	2.99	11.738||	11.19
33	0:0	0.1	3.01	2.99	11.526||	11.66
34	0:0	0.1	3.01	2.99	11.492||	10.83
35	0:0	0.1	3.01	2.99	11.406||	11.49
36	0:0	0.1	3.0	2.97	11.616||	11.56
37	0:0	0.1	3.01	2.97	11.646||	12.04
38	0:0	0.1	3.0	2.99	11.916||	11.18
39	0:0	0.1	3.01	3.0	11.516||	9.72
40	0:0	0.01	2.98	2.94	12.422||	12.59
41	0:0	0.01	2.96	2.93	12.904||	12.84
42	0:0	0.01	2.95	2.92	13.178||	13.23
43	0:0	0.01	2.94	2.93	13.432||	12.67
44	0:0	0.01	2.94	2.9	13.334||	13.38
45	0:0	0.01	2.93	2.9	13.898||	13.82
46	0:0	0.01	2.92	2.89	13.998||	13.43
47	0:0	0.01	2.92	2.88	14.044||	14.12
48	0:0	0.01	2.92	2.89	13.972||	13.79
49	0:0	0.01	2.91	2.87	14.316||	14.71
50	0:0	0.01	2.9	2.9	14.436||	13.51
51	0:0	0.01	2.9	2.87	14.442||	14.15
52	0:0	0.01	2.9	2.87	14.576||	14.92
53	0:0	0.01	2.9	2.88	14.71||	14.27
54	0:0	0.01	2.89	2.86	14.968||	15.49
55	0:0	0.01	2.89	2.87	15.022||	14.04
56	0:0	0.01	2.89	2.87	15.232||	14.57
57	0:0	0.01	2.88	2.85	15.368||	14.4
58	0:0	0.01	2.88	2.86	15.014||	15.06
59	0:0	0.01	2.87	2.85	15.584||	15.08
60	0:0	0.01	2.87	2.85	15.508||	14.58
61	0:0	0.01	2.87	2.85	15.572||	14.85
62	0:0	0.01	2.88	2.83	15.502||	15.32
63	0:0	0.01	2.86	2.86	15.766||	14.63
64	0:0	0.01	2.87	2.85	15.52||	15.72
65	0:0	0.01	2.86	2.84	15.932||	15.46
66	0:0	0.01	2.87	2.83	15.534||	15.94
67	0:0	0.01	2.87	2.84	15.564||	15.03
68	0:0	0.01	2.86	2.83	15.81||	15.67
69	0:0	0.01	2.85	2.83	16.3||	15.59
70	0:0	0.01	2.86	2.84	15.926||	15.19
71	0:0	0.01	2.85	2.82	16.204||	16.66
72	0:0	0.01	2.85	2.82	16.13||	15.47
73	0:0	0.01	2.85	2.84	15.966||	15.3
74	0:0	0.01	2.85	2.82	15.956||	16.01
75	0:0	0.01	2.85	2.83	16.172||	15.92
76	0:0	0.01	2.85	2.82	16.172||	15.6
77	0:0	0.01	2.84	2.83	16.346||	15.71
78	0:0	0.01	2.85	2.82	16.406||	15.89
79	0:0	0.01	2.85	2.8	16.284||	16.36
80	0:0	0.001	2.84	2.83	16.408||	15.78
81	0:0	0.001	2.84	2.8	16.266||	16.79
82	0:0	0.001	2.83	2.82	16.914||	15.92
83	0:0	0.001	2.84	2.81	16.424||	16.57
84	0:0	0.001	2.84	2.82	16.412||	16.3
85	0:0	0.001	2.84	2.83	16.44||	15.88
86	0:0	0.001	2.83	2.82	16.74||	16.3
87	0:0	0.001	2.84	2.81	16.36||	16.29
88	0:0	0.001	2.84	2.81	16.452||	16.51
89	0:0	0.001	2.83	2.81	16.87||	16.74
