epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.68	2.25	19.59||	32.16
1	0:0	0.1	2.0	1.84	38.86||	43.3
2	0:0	0.1	1.69	1.65	48.44||	48.6
3	0:0	0.1	1.47	1.47	54.598||	55.35
4	0:0	0.1	1.34	1.42	58.396||	56.47
5	0:0	0.1	1.25	1.37	61.212||	57.95
6	0:0	0.1	1.17	1.32	63.852||	58.62
7	0:0	0.1	1.11	1.29	65.336||	60.67
8	0:0	0.1	1.08	1.29	66.326||	60.87
9	0:0	0.1	1.04	1.25	67.254||	61.49
10	0:0	0.1	1.0	1.21	68.538||	62.95
11	0:0	0.1	0.976	1.19	69.36||	64.22
12	0:0	0.1	0.953	1.22	70.302||	61.69
13	0:0	0.1	0.944	1.18	70.44||	63.27
14	0:0	0.1	0.913	1.16	71.336||	64.3
15	0:0	0.1	0.898	1.11	71.636||	66.37
16	0:0	0.1	0.887	1.14	72.166||	64.92
17	0:0	0.1	0.88	1.11	72.608||	66.25
18	0:0	0.1	0.867	1.12	72.912||	65.76
19	0:0	0.1	0.86	1.08	73.044||	66.96
20	0:0	0.1	0.844	1.12	73.456||	65.28
21	0:0	0.1	0.847	1.1	73.34||	66.44
22	0:0	0.1	0.838	1.1	73.76||	66.61
23	0:0	0.1	0.824	1.08	74.076||	66.71
24	0:0	0.1	0.815	1.08	74.616||	66.91
25	0:0	0.1	0.822	1.14	74.216||	64.79
26	0:0	0.1	0.799	1.07	75.026||	67.02
27	0:0	0.1	0.792	1.08	75.134||	67.27
28	0:0	0.1	0.807	1.09	74.6||	66.96
29	0:0	0.1	0.797	1.06	74.968||	67.95
30	0:0	0.1	0.791	1.05	75.514||	68.06
31	0:0	0.1	0.776	1.06	75.644||	68.26
32	0:0	0.1	0.77	1.07	75.848||	67.83
33	0:0	0.1	0.794	1.09	75.06||	65.58
34	0:0	0.1	0.785	1.05	75.248||	68.19
35	0:0	0.1	0.756	1.05	76.268||	68.35
36	0:0	0.1	0.77	1.06	75.466||	67.67
37	0:0	0.1	0.779	1.04	75.768||	68.43
38	0:0	0.1	0.767	1.05	75.898||	67.89
39	0:0	0.1	0.763	1.03	76.2||	68.56
40	0:0	0.01	0.619	0.921	80.922||	72.01
41	0:0	0.01	0.562	0.896	82.526||	73.08
42	0:0	0.01	0.542	0.899	83.112||	73.28
43	0:0	0.01	0.536	0.871	83.512||	73.67
44	0:0	0.01	0.518	0.875	84.234||	73.82
45	0:0	0.01	0.514	0.864	84.042||	73.94
46	0:0	0.01	0.502	0.88	84.48||	73.32
47	0:0	0.01	0.496	0.87	84.618||	73.93
48	0:0	0.01	0.492	0.862	84.784||	73.65
49	0:0	0.01	0.49	0.86	85.026||	73.92
50	0:0	0.01	0.48	0.852	85.256||	74.28
51	0:0	0.01	0.489	0.857	85.03||	73.99
52	0:0	0.01	0.473	0.849	85.496||	74.29
53	0:0	0.01	0.484	0.842	85.22||	74.61
54	0:0	0.01	0.477	0.846	85.336||	74.47
55	0:0	0.01	0.468	0.845	85.852||	74.41
56	0:0	0.01	0.476	0.839	85.436||	74.39
57	0:0	0.01	0.469	0.845	85.734||	74.76
58	0:0	0.01	0.466	0.838	85.78||	74.73
59	0:0	0.01	0.47	0.843	85.626||	74.59
60	0:0	0.01	0.463	0.841	85.904||	74.86
61	0:0	0.01	0.467	0.837	85.864||	74.92
62	0:0	0.01	0.467	0.835	85.728||	74.75
63	0:0	0.01	0.459	0.836	86.084||	74.72
64	0:0	0.01	0.462	0.841	85.842||	74.93
65	0:0	0.01	0.466	0.842	85.89||	74.34
66	0:0	0.01	0.464	0.828	85.874||	75.02
67	0:0	0.01	0.458	0.837	86.052||	75.1
68	0:0	0.01	0.462	0.839	86.052||	74.67
69	0:0	0.01	0.46	0.842	86.158||	74.33
70	0:0	0.01	0.453	0.83	86.382||	75.16
71	0:0	0.01	0.456	0.828	86.336||	75.13
72	0:0	0.01	0.447	0.835	86.536||	74.96
73	0:0	0.01	0.451	0.832	86.526||	75.22
74	0:0	0.01	0.447	0.835	86.83||	74.69
75	0:0	0.01	0.448	0.837	86.542||	74.73
76	0:0	0.01	0.45	0.831	86.416||	75.36
77	0:0	0.01	0.451	0.831	86.548||	75.26
78	0:0	0.01	0.453	0.822	86.542||	75.25
79	0:0	0.01	0.455	0.831	86.61||	75.0
80	0:0	0.001	0.449	0.823	86.55||	75.26
81	0:0	0.001	0.438	0.821	87.108||	75.05
82	0:0	0.001	0.436	0.818	87.072||	75.25
83	0:0	0.001	0.439	0.812	86.948||	75.59
84	0:0	0.001	0.44	0.82	86.988||	75.51
85	0:0	0.001	0.438	0.822	86.974||	75.36
86	0:0	0.001	0.433	0.821	87.22||	75.56
87	0:0	0.001	0.43	0.813	87.286||	75.6
88	0:0	0.001	0.432	0.814	87.342||	75.66
89	0:0	0.001	0.432	0.811	87.184||	75.67
