epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.67	2.27	20.234||	29.98
1	0:0	0.1	2.0	1.81	39.188||	44.74
2	0:0	0.1	1.66	1.64	49.124||	49.52
3	0:0	0.1	1.48	1.54	54.358||	52.4
4	0:0	0.1	1.34	1.43	58.59||	55.42
5	0:0	0.1	1.24	1.39	61.612||	56.34
6	0:0	0.1	1.18	1.34	63.056||	58.63
7	0:0	0.1	1.13	1.3	64.428||	60.02
8	0:0	0.1	1.08	1.29	66.316||	59.87
9	0:0	0.1	1.04	1.29	67.636||	60.04
10	0:0	0.1	1.01	1.23	68.21||	62.33
11	0:0	0.1	0.989	1.18	69.072||	63.22
12	0:0	0.1	0.969	1.17	69.808||	64.71
13	0:0	0.1	0.933	1.2	70.57||	62.64
14	0:0	0.1	0.917	1.14	71.23||	64.92
15	0:0	0.1	0.905	1.12	71.766||	65.79
16	0:0	0.1	0.888	1.15	72.18||	65.07
17	0:0	0.1	0.871	1.11	72.586||	65.73
18	0:0	0.1	0.866	1.14	72.82||	64.93
19	0:0	0.1	0.854	1.15	73.27||	64.55
20	0:0	0.1	0.84	1.11	73.672||	66.53
21	0:0	0.1	0.84	1.12	73.596||	65.93
22	0:0	0.1	0.84	1.08	73.75||	67.75
23	0:0	0.1	0.835	1.1	73.92||	66.07
24	0:0	0.1	0.809	1.1	74.582||	66.29
25	0:0	0.1	0.808	1.11	74.856||	65.74
26	0:0	0.1	0.809	1.08	74.902||	67.06
27	0:0	0.1	0.812	1.07	74.464||	67.7
28	0:0	0.1	0.813	1.11	74.6||	66.61
29	0:0	0.1	0.804	1.08	74.99||	67.13
30	0:0	0.1	0.8	1.09	74.886||	66.83
31	0:0	0.1	0.79	1.07	75.182||	67.52
32	0:0	0.1	0.793	1.07	75.206||	66.92
33	0:0	0.1	0.781	1.06	75.612||	67.47
34	0:0	0.1	0.79	1.07	75.22||	67.85
35	0:0	0.1	0.782	1.05	75.468||	68.19
36	0:0	0.1	0.777	1.11	75.77||	66.55
37	0:0	0.1	0.773	1.08	75.812||	66.65
38	0:0	0.1	0.77	1.08	75.854||	66.86
39	0:0	0.1	0.766	1.09	76.176||	67.21
40	0:0	0.01	0.625	0.928	80.658||	72.0
41	0:0	0.01	0.567	0.922	82.6||	72.22
42	0:0	0.01	0.54	0.889	83.612||	73.35
43	0:0	0.01	0.531	0.9	83.628||	72.68
44	0:0	0.01	0.519	0.882	84.068||	73.4
45	0:0	0.01	0.509	0.887	84.402||	73.12
46	0:0	0.01	0.501	0.872	84.636||	73.38
47	0:0	0.01	0.502	0.875	84.52||	73.38
48	0:0	0.01	0.49	0.881	84.99||	73.29
49	0:0	0.01	0.494	0.862	84.748||	73.97
50	0:0	0.01	0.487	0.86	85.184||	73.84
51	0:0	0.01	0.486	0.854	84.952||	74.33
52	0:0	0.01	0.467	0.867	85.696||	73.73
53	0:0	0.01	0.48	0.857	85.404||	73.99
54	0:0	0.01	0.477	0.857	85.448||	74.54
55	0:0	0.01	0.467	0.853	85.752||	74.09
56	0:0	0.01	0.471	0.86	85.662||	74.34
57	0:0	0.01	0.466	0.854	85.744||	74.21
58	0:0	0.01	0.47	0.851	85.638||	74.3
59	0:0	0.01	0.471	0.857	85.662||	74.17
60	0:0	0.01	0.469	0.855	85.572||	74.43
61	0:0	0.01	0.466	0.846	85.906||	74.7
62	0:0	0.01	0.46	0.838	86.096||	74.48
63	0:0	0.01	0.464	0.844	86.082||	74.89
64	0:0	0.01	0.463	0.828	85.986||	75.02
65	0:0	0.01	0.466	0.843	85.976||	74.44
66	0:0	0.01	0.455	0.854	86.36||	74.48
67	0:0	0.01	0.458	0.839	86.234||	74.53
68	0:0	0.01	0.454	0.847	86.208||	74.26
69	0:0	0.01	0.454	0.839	86.296||	74.89
70	0:0	0.01	0.461	0.842	86.274||	74.5
71	0:0	0.01	0.458	0.844	86.182||	74.78
72	0:0	0.01	0.457	0.848	86.246||	74.27
73	0:0	0.01	0.453	0.84	86.358||	75.05
74	0:0	0.01	0.451	0.845	86.698||	74.28
75	0:0	0.01	0.453	0.845	86.612||	74.7
76	0:0	0.01	0.452	0.833	86.634||	74.82
77	0:0	0.01	0.454	0.836	86.48||	74.34
78	0:0	0.01	0.449	0.847	86.558||	74.33
79	0:0	0.01	0.45	0.843	86.734||	74.66
80	0:0	0.001	0.447	0.825	86.53||	74.98
81	0:0	0.001	0.439	0.826	86.882||	74.72
82	0:0	0.001	0.438	0.827	86.83||	74.97
83	0:0	0.001	0.434	0.819	87.132||	75.66
84	0:0	0.001	0.436	0.828	87.092||	75.0
85	0:0	0.001	0.432	0.821	87.154||	74.89
86	0:0	0.001	0.428	0.826	87.476||	75.32
87	0:0	0.001	0.433	0.824	87.178||	75.51
88	0:0	0.001	0.431	0.824	87.254||	74.91
89	0:0	0.001	0.429	0.83	87.202||	74.77
