epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.97	2.78	12.0||	14.29
1	0:0	0.1	2.74	2.6	18.036||	21.75
2	0:0	0.1	2.62	2.51	21.35||	25.22
3	0:0	0.1	2.56	2.48	23.692||	25.3
4	0:0	0.1	2.5	2.44	25.226||	25.77
5	0:0	0.1	2.47	2.42	26.376||	26.76
6	0:0	0.1	2.44	2.38	27.312||	27.71
7	0:0	0.1	2.42	2.41	27.694||	27.27
8	0:0	0.1	2.41	2.35	28.33||	28.72
9	0:0	0.1	2.39	2.37	28.716||	28.39
10	0:0	0.1	2.38	2.34	28.678||	29.18
11	0:0	0.1	2.37	2.31	29.096||	30.13
12	0:0	0.1	2.36	2.36	29.584||	29.18
13	0:0	0.1	2.35	2.35	29.616||	27.91
14	0:0	0.1	2.34	2.33	30.292||	29.15
15	0:0	0.1	2.35	2.32	29.896||	28.61
16	0:0	0.1	2.32	2.33	30.654||	29.14
17	0:0	0.1	2.32	2.3	30.684||	30.09
18	0:0	0.1	2.32	2.34	30.696||	28.73
19	0:0	0.1	2.31	2.26	31.104||	32.15
20	0:0	0.1	2.32	2.32	31.016||	29.05
21	0:0	0.1	2.3	2.27	31.282||	31.52
22	0:0	0.1	2.3	2.32	31.518||	29.18
23	0:0	0.1	2.3	2.36	31.484||	28.59
24	0:0	0.1	2.28	2.3	31.48||	30.08
25	0:0	0.1	2.3	2.25	31.392||	31.84
26	0:0	0.1	2.3	2.33	31.44||	29.21
27	0:0	0.1	2.28	2.24	31.61||	32.0
28	0:0	0.1	2.29	2.27	31.628||	30.83
29	0:0	0.1	2.29	2.3	31.812||	30.0
30	0:0	0.1	2.28	2.32	31.766||	29.51
31	0:0	0.1	2.28	2.26	32.134||	31.42
32	0:0	0.1	2.28	2.26	31.91||	32.06
33	0:0	0.1	2.28	2.24	31.89||	31.98
34	0:0	0.1	2.28	2.26	32.014||	31.72
35	0:0	0.1	2.29	2.28	31.876||	30.06
36	0:0	0.1	2.27	2.29	32.066||	30.18
37	0:0	0.1	2.27	2.26	32.304||	30.97
38	0:0	0.1	2.27	2.28	32.434||	31.1
39	0:0	0.1	2.27	2.28	32.404||	30.27
40	0:0	0.01	2.2	2.17	34.388||	34.47
41	0:0	0.01	2.15	2.13	35.802||	34.9
42	0:0	0.01	2.11	2.11	36.926||	35.99
43	0:0	0.01	2.1	2.1	37.314||	35.99
44	0:0	0.01	2.09	2.08	37.676||	36.69
45	0:0	0.01	2.07	2.09	37.938||	36.91
46	0:0	0.01	2.06	2.09	38.374||	36.09
47	0:0	0.01	2.05	2.06	38.32||	37.25
48	0:0	0.01	2.03	2.05	39.122||	37.98
49	0:0	0.01	2.02	2.04	39.744||	38.11
50	0:0	0.01	2.02	2.03	39.47||	39.12
51	0:0	0.01	2.01	2.05	39.652||	37.0
52	0:0	0.01	2.0	2.05	39.816||	38.29
53	0:0	0.01	1.99	2.04	39.936||	37.88
54	0:0	0.01	1.98	2.01	40.496||	38.73
55	0:0	0.01	1.98	2.01	40.268||	38.94
56	0:0	0.01	1.98	2.01	40.386||	39.62
57	0:0	0.01	1.97	2.01	40.854||	38.73
58	0:0	0.01	1.97	1.99	40.964||	39.46
59	0:0	0.01	1.96	1.99	40.69||	39.46
60	0:0	0.01	1.96	1.97	40.954||	40.54
61	0:0	0.01	1.94	2.0	41.434||	39.41
62	0:0	0.01	1.94	2.01	41.458||	39.21
63	0:0	0.01	1.94	1.98	41.608||	39.61
64	0:0	0.01	1.95	2.0	41.24||	39.32
65	0:0	0.01	1.95	1.99	40.952||	39.73
66	0:0	0.01	1.94	1.97	41.544||	39.96
67	0:0	0.01	1.92	1.97	42.24||	40.63
68	0:0	0.01	1.93	1.98	42.22||	39.62
69	0:0	0.01	1.92	1.95	41.984||	40.87
70	0:0	0.01	1.93	1.95	41.638||	40.79
71	0:0	0.01	1.93	1.96	41.822||	40.18
72	0:0	0.01	1.91	1.97	42.552||	39.86
73	0:0	0.01	1.92	1.97	41.964||	39.4
74	0:0	0.01	1.91	1.97	42.492||	40.13
75	0:0	0.01	1.9	1.96	42.594||	40.29
76	0:0	0.01	1.91	1.94	42.764||	40.85
77	0:0	0.01	1.9	1.95	42.846||	40.71
78	0:0	0.01	1.9	1.94	42.592||	40.56
79	0:0	0.01	1.9	1.94	42.74||	40.48
80	0:0	0.001	1.89	1.93	43.128||	41.08
81	0:0	0.001	1.88	1.94	43.564||	41.07
82	0:0	0.001	1.87	1.92	43.67||	41.27
83	0:0	0.001	1.9	1.94	42.916||	41.27
84	0:0	0.001	1.87	1.92	43.706||	41.95
85	0:0	0.001	1.88	1.94	43.29||	41.02
86	0:0	0.001	1.89	1.92	43.206||	41.54
87	0:0	0.001	1.88	1.94	43.436||	41.12
88	0:0	0.001	1.88	1.92	43.442||	41.53
89	0:0	0.001	1.88	1.93	43.242||	40.95
