epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	3.14	3.06	7.478||	10.78
1	0:0	0.1	3.08	3.07	8.934||	7.69
2	0:0	0.1	3.06	3.04	9.84||	9.44
3	0:0	0.1	3.05	3.08	9.97||	8.58
4	0:0	0.1	3.05	2.97	10.326||	12.35
5	0:0	0.1	3.04	2.98	10.372||	11.68
6	0:0	0.1	3.03	3.02	10.726||	9.62
7	0:0	0.1	3.03	3.0	10.71||	10.25
8	0:0	0.1	3.03	3.01	10.806||	11.36
9	0:0	0.1	3.02	3.01	10.826||	9.74
10	0:0	0.1	3.02	3.02	10.898||	9.82
11	0:0	0.1	3.02	2.97	11.16||	11.58
12	0:0	0.1	3.02	2.98	11.04||	11.36
13	0:0	0.1	3.02	2.99	11.024||	10.28
14	0:0	0.1	3.01	2.98	11.386||	11.77
15	0:0	0.1	3.01	2.97	11.452||	11.5
16	0:0	0.1	3.01	3.0	11.248||	9.81
17	0:0	0.1	3.02	3.01	11.344||	11.45
18	0:0	0.1	3.02	2.97	11.232||	13.23
19	0:0	0.1	3.01	3.01	11.38||	10.06
20	0:0	0.1	3.01	3.01	11.368||	10.42
21	0:0	0.1	3.01	2.98	11.43||	11.29
22	0:0	0.1	3.02	2.99	11.278||	10.78
23	0:0	0.1	3.01	2.95	11.376||	12.42
24	0:0	0.1	3.02	2.99	11.46||	10.93
25	0:0	0.1	3.01	2.97	11.472||	10.87
26	0:0	0.1	3.0	3.0	11.572||	10.4
27	0:0	0.1	3.01	2.94	11.22||	13.25
28	0:0	0.1	3.01	3.0	11.414||	10.52
29	0:0	0.1	3.01	2.99	11.746||	10.46
30	0:0	0.1	3.01	3.02	11.398||	9.91
31	0:0	0.1	3.01	2.97	11.376||	10.86
32	0:0	0.1	3.01	2.97	11.652||	11.63
33	0:0	0.1	3.01	2.96	11.556||	12.35
34	0:0	0.1	3.01	2.97	11.528||	10.94
35	0:0	0.1	3.01	2.98	11.256||	11.01
36	0:0	0.1	3.01	2.99	11.562||	10.8
37	0:0	0.1	3.01	2.98	11.418||	10.9
38	0:0	0.1	3.01	3.02	11.592||	9.89
39	0:0	0.1	3.01	2.96	11.79||	12.79
40	0:0	0.01	2.98	2.95	12.412||	12.1
41	0:0	0.01	2.96	2.92	12.868||	13.2
42	0:0	0.01	2.95	2.93	13.224||	12.51
43	0:0	0.01	2.94	2.91	13.402||	13.59
44	0:0	0.01	2.94	2.91	13.742||	13.44
45	0:0	0.01	2.94	2.93	13.756||	12.92
46	0:0	0.01	2.93	2.9	13.818||	13.3
47	0:0	0.01	2.92	2.91	14.044||	13.07
48	0:0	0.01	2.92	2.89	14.148||	14.4
49	0:0	0.01	2.91	2.88	14.482||	14.39
50	0:0	0.01	2.91	2.87	14.456||	14.38
51	0:0	0.01	2.91	2.89	14.47||	14.36
52	0:0	0.01	2.91	2.87	14.42||	14.07
53	0:0	0.01	2.89	2.87	15.052||	14.09
54	0:0	0.01	2.9	2.86	14.744||	15.59
55	0:0	0.01	2.89	2.88	15.13||	14.46
56	0:0	0.01	2.88	2.87	14.994||	13.98
57	0:0	0.01	2.89	2.85	15.176||	15.16
58	0:0	0.01	2.88	2.86	15.08||	14.84
59	0:0	0.01	2.88	2.86	14.964||	14.81
60	0:0	0.01	2.87	2.85	15.248||	15.53
61	0:0	0.01	2.87	2.85	15.346||	15.26
62	0:0	0.01	2.88	2.87	15.12||	14.99
63	0:0	0.01	2.87	2.86	15.462||	15.53
64	0:0	0.01	2.86	2.86	15.804||	15.0
65	0:0	0.01	2.86	2.85	15.898||	14.51
66	0:0	0.01	2.86	2.84	15.972||	15.8
67	0:0	0.01	2.86	2.84	15.84||	15.48
68	0:0	0.01	2.86	2.83	15.98||	15.76
69	0:0	0.01	2.86	2.83	15.988||	15.93
70	0:0	0.01	2.85	2.83	15.982||	16.04
71	0:0	0.01	2.86	2.85	16.21||	15.65
72	0:0	0.01	2.85	2.84	15.988||	15.79
73	0:0	0.01	2.86	2.84	15.924||	15.56
74	0:0	0.01	2.86	2.84	16.034||	15.5
75	0:0	0.01	2.85	2.82	15.988||	16.28
76	0:0	0.01	2.84	2.82	16.196||	15.9
77	0:0	0.01	2.85	2.82	16.138||	16.43
78	0:0	0.01	2.84	2.85	16.364||	15.14
79	0:0	0.01	2.84	2.84	16.326||	15.63
80	0:0	0.001	2.84	2.82	16.572||	16.06
81	0:0	0.001	2.84	2.82	16.386||	16.21
82	0:0	0.001	2.84	2.82	16.644||	16.29
83	0:0	0.001	2.84	2.83	16.474||	15.91
84	0:0	0.001	2.83	2.82	16.692||	16.43
85	0:0	0.001	2.83	2.82	16.84||	16.1
86	0:0	0.001	2.83	2.82	16.484||	16.12
87	0:0	0.001	2.83	2.81	16.54||	16.73
88	0:0	0.001	2.83	2.81	16.652||	16.3
89	0:0	0.001	2.84	2.82	16.66||	16.62
