epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.68	2.34	19.996||	27.08
1	0:0	0.1	2.0	1.85	39.466||	43.13
2	0:0	0.1	1.66	1.61	48.996||	50.89
3	0:0	0.1	1.48	1.49	54.448||	53.55
4	0:0	0.1	1.35	1.45	58.358||	54.31
5	0:0	0.1	1.24	1.43	61.52||	54.8
6	0:0	0.1	1.17	1.32	63.456||	58.93
7	0:0	0.1	1.13	1.23	64.946||	61.63
8	0:0	0.1	1.07	1.34	66.594||	58.5
9	0:0	0.1	1.04	1.19	67.328||	63.86
10	0:0	0.1	1.01	1.2	68.784||	63.25
11	0:0	0.1	0.976	1.23	69.428||	61.52
12	0:0	0.1	0.959	1.15	70.17||	64.6
13	0:0	0.1	0.938	1.22	70.56||	62.05
14	0:0	0.1	0.919	1.14	71.264||	65.03
15	0:0	0.1	0.895	1.16	72.018||	64.71
16	0:0	0.1	0.887	1.1	72.104||	66.29
17	0:0	0.1	0.871	1.16	72.704||	64.58
18	0:0	0.1	0.869	1.16	72.618||	64.05
19	0:0	0.1	0.852	1.13	73.25||	65.15
20	0:0	0.1	0.849	1.09	73.238||	66.89
21	0:0	0.1	0.828	1.1	73.956||	65.93
22	0:0	0.1	0.833	1.17	73.954||	64.2
23	0:0	0.1	0.814	1.14	74.448||	64.54
24	0:0	0.1	0.814	1.09	74.464||	66.86
25	0:0	0.1	0.823	1.08	74.188||	66.63
26	0:0	0.1	0.804	1.11	74.842||	65.94
27	0:0	0.1	0.813	1.08	74.332||	67.31
28	0:0	0.1	0.795	1.05	74.982||	68.08
29	0:0	0.1	0.795	1.1	74.96||	66.8
30	0:0	0.1	0.786	1.03	75.252||	68.91
31	0:0	0.1	0.778	1.08	75.668||	66.82
32	0:0	0.1	0.77	1.1	75.866||	66.29
33	0:0	0.1	0.777	1.12	75.612||	65.32
34	0:0	0.1	0.776	1.07	75.812||	67.04
35	0:0	0.1	0.774	1.05	75.576||	67.44
36	0:0	0.1	0.765	1.12	76.17||	65.56
37	0:0	0.1	0.767	1.08	75.992||	66.41
38	0:0	0.1	0.765	1.05	75.756||	67.82
39	0:0	0.1	0.768	1.05	75.904||	68.32
40	0:0	0.01	0.619	0.936	80.814||	71.3
41	0:0	0.01	0.561	0.902	82.784||	72.48
42	0:0	0.01	0.548	0.903	82.984||	72.34
43	0:0	0.01	0.528	0.867	83.676||	73.23
44	0:0	0.01	0.519	0.88	84.172||	72.85
45	0:0	0.01	0.511	0.868	84.364||	73.68
46	0:0	0.01	0.5	0.862	84.68||	73.54
47	0:0	0.01	0.5	0.871	84.654||	73.16
48	0:0	0.01	0.489	0.869	84.996||	73.69
49	0:0	0.01	0.494	0.864	84.946||	73.81
50	0:0	0.01	0.496	0.853	84.8||	74.27
51	0:0	0.01	0.487	0.849	85.098||	74.07
52	0:0	0.01	0.477	0.863	85.38||	73.97
53	0:0	0.01	0.479	0.86	85.496||	73.7
54	0:0	0.01	0.472	0.851	85.742||	74.11
55	0:0	0.01	0.477	0.852	85.27||	73.85
56	0:0	0.01	0.467	0.86	85.782||	73.91
57	0:0	0.01	0.47	0.852	85.682||	74.02
58	0:0	0.01	0.472	0.846	85.8||	74.12
59	0:0	0.01	0.471	0.848	85.722||	74.08
60	0:0	0.01	0.456	0.849	86.02||	74.09
61	0:0	0.01	0.465	0.845	85.862||	74.36
62	0:0	0.01	0.461	0.841	86.244||	74.51
63	0:0	0.01	0.463	0.846	85.99||	74.64
64	0:0	0.01	0.465	0.838	85.882||	74.33
65	0:0	0.01	0.461	0.84	86.158||	74.33
66	0:0	0.01	0.455	0.842	86.336||	74.12
67	0:0	0.01	0.461	0.848	86.264||	74.29
68	0:0	0.01	0.451	0.83	86.292||	75.05
69	0:0	0.01	0.454	0.833	86.366||	74.46
70	0:0	0.01	0.454	0.848	86.374||	74.33
71	0:0	0.01	0.458	0.833	86.24||	74.2
72	0:0	0.01	0.457	0.822	86.056||	74.91
73	0:0	0.01	0.46	0.83	86.266||	74.92
74	0:0	0.01	0.451	0.837	86.62||	74.41
75	0:0	0.01	0.451	0.83	86.272||	74.65
76	0:0	0.01	0.449	0.828	86.56||	74.38
77	0:0	0.01	0.45	0.831	86.494||	74.55
78	0:0	0.01	0.449	0.833	86.626||	74.98
79	0:0	0.01	0.449	0.843	86.624||	74.7
80	0:0	0.001	0.451	0.832	86.642||	74.6
81	0:0	0.001	0.433	0.822	87.11||	75.04
82	0:0	0.001	0.438	0.82	86.93||	75.08
83	0:0	0.001	0.437	0.82	87.152||	75.31
84	0:0	0.001	0.434	0.822	86.95||	74.62
85	0:0	0.001	0.433	0.826	87.202||	74.58
86	0:0	0.001	0.435	0.817	87.136||	75.47
87	0:0	0.001	0.434	0.823	87.148||	75.25
88	0:0	0.001	0.437	0.817	86.896||	75.56
89	0:0	0.001	0.433	0.813	87.194||	74.78
