epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	3.14	3.05	7.372||	9.85
1	0:0	0.1	3.08	3.01	9.28||	10.33
2	0:0	0.1	3.06	3.02	9.87||	10.55
3	0:0	0.1	3.05	3.02	10.146||	9.6
4	0:0	0.1	3.05	3.03	10.334||	10.31
5	0:0	0.1	3.04	2.97	10.408||	12.04
6	0:0	0.1	3.03	2.98	10.67||	12.19
7	0:0	0.1	3.03	2.99	10.89||	11.24
8	0:0	0.1	3.03	3.05	10.906||	9.4
9	0:0	0.1	3.02	2.97	10.772||	12.43
10	0:0	0.1	3.02	2.98	10.772||	10.99
11	0:0	0.1	3.02	3.0	11.038||	9.82
12	0:0	0.1	3.01	3.0	11.226||	10.37
13	0:0	0.1	3.02	3.02	11.272||	9.45
14	0:0	0.1	3.02	3.01	11.028||	10.48
15	0:0	0.1	3.01	2.96	11.314||	12.05
16	0:0	0.1	3.02	2.95	11.352||	12.16
17	0:0	0.1	3.02	3.01	11.384||	10.45
18	0:0	0.1	3.01	2.97	11.264||	11.62
19	0:0	0.1	3.01	3.0	11.42||	10.11
20	0:0	0.1	3.01	2.95	11.266||	12.17
21	0:0	0.1	3.01	2.99	11.67||	10.98
22	0:0	0.1	3.02	2.97	11.326||	11.48
23	0:0	0.1	3.02	2.99	11.07||	11.73
24	0:0	0.1	3.01	2.97	11.488||	12.02
25	0:0	0.1	3.0	2.98	11.544||	11.05
26	0:0	0.1	3.01	3.01	11.388||	9.27
27	0:0	0.1	3.0	3.0	11.684||	11.44
28	0:0	0.1	3.0	3.02	11.802||	9.05
29	0:0	0.1	3.01	2.99	11.85||	10.8
30	0:0	0.1	3.0	2.98	11.692||	11.41
31	0:0	0.1	3.01	2.94	11.732||	13.14
32	0:0	0.1	3.02	2.98	11.554||	12.22
33	0:0	0.1	3.0	2.99	11.714||	11.46
34	0:0	0.1	3.01	3.0	11.49||	10.58
35	0:0	0.1	3.0	2.95	11.874||	12.42
36	0:0	0.1	3.01	2.98	11.612||	12.41
37	0:0	0.1	3.01	2.97	11.634||	12.66
38	0:0	0.1	3.0	3.03	11.742||	10.27
39	0:0	0.1	3.01	2.92	11.318||	13.42
40	0:0	0.01	2.98	2.94	12.228||	12.38
41	0:0	0.01	2.95	2.93	13.048||	13.16
42	0:0	0.01	2.95	2.92	13.226||	13.12
43	0:0	0.01	2.94	2.92	13.7||	12.92
44	0:0	0.01	2.94	2.93	13.49||	13.3
45	0:0	0.01	2.93	2.91	13.706||	13.36
46	0:0	0.01	2.92	2.88	14.162||	14.3
47	0:0	0.01	2.92	2.9	14.344||	13.65
48	0:0	0.01	2.92	2.88	14.364||	14.05
49	0:0	0.01	2.9	2.91	14.71||	13.26
50	0:0	0.01	2.9	2.89	14.552||	13.55
51	0:0	0.01	2.9	2.88	14.656||	14.42
52	0:0	0.01	2.89	2.87	14.912||	14.3
53	0:0	0.01	2.89	2.86	14.564||	15.42
54	0:0	0.01	2.89	2.88	15.024||	13.85
55	0:0	0.01	2.89	2.87	14.88||	14.79
56	0:0	0.01	2.89	2.87	14.748||	14.99
57	0:0	0.01	2.88	2.85	15.016||	14.9
58	0:0	0.01	2.88	2.87	15.272||	14.79
59	0:0	0.01	2.87	2.84	15.552||	15.24
60	0:0	0.01	2.88	2.84	15.164||	15.43
61	0:0	0.01	2.88	2.84	15.512||	15.64
62	0:0	0.01	2.87	2.85	15.358||	14.53
63	0:0	0.01	2.87	2.87	15.782||	15.03
64	0:0	0.01	2.86	2.83	15.782||	15.37
65	0:0	0.01	2.86	2.84	15.652||	15.19
66	0:0	0.01	2.86	2.83	15.704||	15.75
67	0:0	0.01	2.86	2.85	15.922||	14.84
68	0:0	0.01	2.86	2.82	15.482||	15.56
69	0:0	0.01	2.85	2.82	15.864||	16.27
70	0:0	0.01	2.86	2.84	15.86||	15.55
71	0:0	0.01	2.86	2.84	15.792||	15.25
72	0:0	0.01	2.86	2.83	16.194||	15.18
73	0:0	0.01	2.85	2.82	15.9||	16.2
74	0:0	0.01	2.85	2.83	16.274||	16.24
75	0:0	0.01	2.85	2.82	16.382||	15.7
76	0:0	0.01	2.84	2.84	16.266||	15.5
77	0:0	0.01	2.85	2.83	16.32||	15.83
78	0:0	0.01	2.85	2.84	16.204||	15.33
79	0:0	0.01	2.85	2.8	16.086||	16.66
80	0:0	0.001	2.85	2.81	16.346||	16.67
81	0:0	0.001	2.83	2.82	16.778||	15.71
82	0:0	0.001	2.84	2.81	16.544||	15.78
83	0:0	0.001	2.84	2.81	16.676||	15.93
84	0:0	0.001	2.84	2.82	16.674||	16.45
85	0:0	0.001	2.84	2.81	16.552||	16.27
86	0:0	0.001	2.83	2.81	17.09||	16.31
87	0:0	0.001	2.83	2.8	16.682||	16.59
88	0:0	0.001	2.83	2.82	16.55||	15.63
89	0:0	0.001	2.83	2.81	16.614||	15.81
