epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.97	2.8	11.902||	14.58
1	0:0	0.1	2.74	2.71	18.286||	18.19
2	0:0	0.1	2.62	2.56	21.608||	24.42
3	0:0	0.1	2.56	2.49	23.564||	24.78
4	0:0	0.1	2.51	2.47	25.008||	25.79
5	0:0	0.1	2.47	2.41	26.208||	26.28
6	0:0	0.1	2.45	2.4	26.666||	27.96
7	0:0	0.1	2.43	2.36	27.482||	28.44
8	0:0	0.1	2.4	2.39	28.14||	28.03
9	0:0	0.1	2.39	2.35	28.532||	28.19
10	0:0	0.1	2.39	2.36	28.642||	28.97
11	0:0	0.1	2.37	2.33	28.712||	29.9
12	0:0	0.1	2.36	2.32	29.746||	29.8
13	0:0	0.1	2.36	2.33	29.486||	29.18
14	0:0	0.1	2.35	2.3	29.464||	30.48
15	0:0	0.1	2.34	2.33	29.794||	29.77
16	0:0	0.1	2.32	2.31	30.456||	29.87
17	0:0	0.1	2.32	2.27	30.292||	31.07
18	0:0	0.1	2.32	2.31	30.648||	29.22
19	0:0	0.1	2.32	2.36	30.622||	27.64
20	0:0	0.1	2.32	2.3	30.584||	29.96
21	0:0	0.1	2.3	2.27	31.228||	30.85
22	0:0	0.1	2.32	2.3	30.674||	29.99
23	0:0	0.1	2.31	2.24	31.154||	32.24
24	0:0	0.1	2.3	2.28	31.418||	30.66
25	0:0	0.1	2.3	2.27	31.328||	31.89
26	0:0	0.1	2.29	2.31	31.644||	29.75
27	0:0	0.1	2.3	2.28	31.186||	31.17
28	0:0	0.1	2.29	2.26	31.57||	31.64
29	0:0	0.1	2.3	2.3	31.75||	29.54
30	0:0	0.1	2.29	2.29	31.496||	30.55
31	0:0	0.1	2.29	2.27	31.776||	30.92
32	0:0	0.1	2.28	2.32	32.05||	29.49
33	0:0	0.1	2.28	2.32	32.238||	29.69
34	0:0	0.1	2.28	2.24	31.672||	32.8
35	0:0	0.1	2.28	2.27	32.04||	30.74
36	0:0	0.1	2.29	2.26	31.982||	31.39
37	0:0	0.1	2.27	2.27	32.14||	31.91
38	0:0	0.1	2.26	2.3	32.476||	30.4
39	0:0	0.1	2.28	2.27	31.692||	30.98
40	0:0	0.01	2.2	2.17	34.178||	34.26
41	0:0	0.01	2.14	2.13	35.714||	36.25
42	0:0	0.01	2.13	2.12	36.296||	35.7
43	0:0	0.01	2.1	2.1	36.936||	37.05
44	0:0	0.01	2.09	2.09	37.354||	36.09
45	0:0	0.01	2.07	2.09	37.994||	35.96
46	0:0	0.01	2.06	2.07	38.372||	36.99
47	0:0	0.01	2.04	2.05	38.616||	37.74
48	0:0	0.01	2.04	2.03	38.794||	38.86
49	0:0	0.01	2.02	2.03	39.076||	38.75
50	0:0	0.01	2.02	2.01	39.256||	39.09
51	0:0	0.01	2.01	2.01	39.392||	38.89
52	0:0	0.01	2.0	2.03	39.846||	38.04
53	0:0	0.01	2.0	2.01	39.982||	38.67
54	0:0	0.01	1.99	2.02	40.288||	38.64
55	0:0	0.01	1.98	2.01	40.53||	39.04
56	0:0	0.01	1.98	2.01	40.408||	38.86
57	0:0	0.01	1.97	2.0	40.644||	39.91
58	0:0	0.01	1.97	2.0	40.746||	38.81
59	0:0	0.01	1.97	2.0	40.744||	38.7
60	0:0	0.01	1.96	1.99	40.97||	39.3
61	0:0	0.01	1.96	2.01	41.046||	38.78
62	0:0	0.01	1.95	1.98	41.344||	40.22
63	0:0	0.01	1.95	1.97	41.386||	39.88
64	0:0	0.01	1.95	1.96	41.242||	40.12
65	0:0	0.01	1.94	1.98	41.606||	39.36
66	0:0	0.01	1.93	1.98	41.876||	39.23
67	0:0	0.01	1.93	1.96	41.614||	40.46
68	0:0	0.01	1.93	1.96	41.936||	40.47
69	0:0	0.01	1.92	1.98	41.704||	39.28
70	0:0	0.01	1.92	1.96	42.176||	39.84
71	0:0	0.01	1.91	1.97	42.238||	40.1
72	0:0	0.01	1.93	1.95	42.092||	40.1
73	0:0	0.01	1.91	1.96	42.554||	40.1
74	0:0	0.01	1.92	1.93	42.302||	41.41
75	0:0	0.01	1.9	1.96	42.48||	40.76
76	0:0	0.01	1.91	1.94	42.524||	41.31
77	0:0	0.01	1.91	1.93	42.764||	41.35
78	0:0	0.01	1.9	1.95	42.65||	40.71
79	0:0	0.01	1.9	1.94	42.72||	41.17
80	0:0	0.001	1.9	1.94	42.59||	40.8
81	0:0	0.001	1.88	1.95	43.454||	40.53
82	0:0	0.001	1.88	1.93	43.128||	41.35
83	0:0	0.001	1.89	1.94	43.082||	40.8
84	0:0	0.001	1.88	1.93	43.28||	40.92
85	0:0	0.001	1.88	1.93	43.272||	41.36
86	0:0	0.001	1.88	1.93	43.014||	41.66
87	0:0	0.001	1.88	1.93	43.412||	41.52
88	0:0	0.001	1.88	1.93	43.302||	41.39
89	0:0	0.001	1.87	1.93	43.658||	41.4
