epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.68	2.3	19.86||	29.01
1	0:0	0.1	1.99	1.79	39.416||	44.33
2	0:0	0.1	1.68	1.55	48.66||	52.58
3	0:0	0.1	1.48	1.48	54.442||	54.68
4	0:0	0.1	1.35	1.42	57.946||	56.99
5	0:0	0.1	1.25	1.36	61.702||	57.84
6	0:0	0.1	1.18	1.32	63.246||	59.06
7	0:0	0.1	1.14	1.3	64.42||	59.79
8	0:0	0.1	1.08	1.28	66.312||	60.02
9	0:0	0.1	1.05	1.3	67.12||	59.61
10	0:0	0.1	1.02	1.24	68.076||	61.28
11	0:0	0.1	0.987	1.2	69.058||	63.05
12	0:0	0.1	0.96	1.19	70.0||	63.57
13	0:0	0.1	0.941	1.13	70.7||	65.29
14	0:0	0.1	0.921	1.17	71.14||	64.45
15	0:0	0.1	0.904	1.13	71.732||	65.63
16	0:0	0.1	0.894	1.15	72.056||	65.46
17	0:0	0.1	0.876	1.12	72.698||	65.37
18	0:0	0.1	0.868	1.1	72.938||	66.25
19	0:0	0.1	0.857	1.14	73.138||	65.23
20	0:0	0.1	0.845	1.14	73.384||	64.78
21	0:0	0.1	0.844	1.11	73.386||	66.17
22	0:0	0.1	0.838	1.13	73.582||	65.5
23	0:0	0.1	0.825	1.09	74.23||	66.76
24	0:0	0.1	0.824	1.11	74.13||	65.38
25	0:0	0.1	0.816	1.09	74.534||	66.17
26	0:0	0.1	0.805	1.11	74.78||	66.05
27	0:0	0.1	0.797	1.09	75.082||	67.04
28	0:0	0.1	0.796	1.07	75.068||	67.54
29	0:0	0.1	0.794	1.1	75.264||	66.14
30	0:0	0.1	0.785	1.08	75.198||	66.88
31	0:0	0.1	0.786	1.06	75.3||	67.48
32	0:0	0.1	0.784	1.08	75.272||	67.05
33	0:0	0.1	0.781	1.08	75.61||	66.93
34	0:0	0.1	0.781	1.08	75.216||	66.73
35	0:0	0.1	0.77	1.08	75.786||	67.06
36	0:0	0.1	0.764	1.07	75.946||	67.24
37	0:0	0.1	0.766	1.06	75.906||	67.7
38	0:0	0.1	0.77	1.05	75.62||	67.98
39	0:0	0.1	0.767	1.06	75.886||	67.38
40	0:0	0.01	0.608	0.928	81.104||	72.38
41	0:0	0.01	0.559	0.903	82.744||	72.5
42	0:0	0.01	0.542	0.891	83.222||	72.86
43	0:0	0.01	0.53	0.885	83.772||	72.99
44	0:0	0.01	0.511	0.874	84.222||	74.01
45	0:0	0.01	0.512	0.861	84.41||	74.21
46	0:0	0.01	0.506	0.869	84.546||	73.75
47	0:0	0.01	0.497	0.871	84.764||	73.49
48	0:0	0.01	0.499	0.858	84.676||	73.87
49	0:0	0.01	0.488	0.86	85.064||	74.56
50	0:0	0.01	0.487	0.863	85.1||	74.19
51	0:0	0.01	0.488	0.868	85.064||	73.8
52	0:0	0.01	0.48	0.855	85.266||	74.12
53	0:0	0.01	0.469	0.857	85.664||	74.21
54	0:0	0.01	0.478	0.858	85.274||	74.19
55	0:0	0.01	0.478	0.851	85.512||	74.2
56	0:0	0.01	0.473	0.842	85.45||	74.79
57	0:0	0.01	0.472	0.849	85.628||	74.4
58	0:0	0.01	0.463	0.846	85.93||	74.66
59	0:0	0.01	0.465	0.85	85.888||	73.92
60	0:0	0.01	0.466	0.85	85.884||	74.2
61	0:0	0.01	0.467	0.845	85.878||	74.28
62	0:0	0.01	0.459	0.844	86.13||	74.76
63	0:0	0.01	0.461	0.838	86.112||	74.65
64	0:0	0.01	0.462	0.83	86.172||	75.07
65	0:0	0.01	0.464	0.84	86.014||	74.94
66	0:0	0.01	0.46	0.843	85.966||	74.05
67	0:0	0.01	0.454	0.832	86.202||	75.39
68	0:0	0.01	0.459	0.837	86.138||	74.89
69	0:0	0.01	0.455	0.838	86.346||	74.75
70	0:0	0.01	0.453	0.847	86.362||	74.47
71	0:0	0.01	0.456	0.836	86.1||	75.14
72	0:0	0.01	0.457	0.835	86.262||	74.48
73	0:0	0.01	0.456	0.842	86.328||	74.48
74	0:0	0.01	0.452	0.832	86.48||	75.32
75	0:0	0.01	0.454	0.835	86.436||	75.17
76	0:0	0.01	0.453	0.831	86.4||	74.88
77	0:0	0.01	0.45	0.84	86.458||	74.74
78	0:0	0.01	0.446	0.818	86.67||	75.72
79	0:0	0.01	0.452	0.847	86.452||	74.45
80	0:0	0.001	0.443	0.826	86.734||	75.28
81	0:0	0.001	0.438	0.82	86.858||	75.22
82	0:0	0.001	0.434	0.827	87.23||	74.92
83	0:0	0.001	0.437	0.826	87.042||	75.46
84	0:0	0.001	0.432	0.819	87.28||	75.25
85	0:0	0.001	0.437	0.82	87.038||	75.27
86	0:0	0.001	0.425	0.825	87.46||	75.27
87	0:0	0.001	0.428	0.832	87.24||	74.78
88	0:0	0.001	0.429	0.818	87.308||	75.5
89	0:0	0.001	0.431	0.82	87.256||	75.44
