epoch	time	lr	train loss	test loss	train acc(multi)	test acc(multi)
0	0:0	0.1	2.03	1.7	25.68359375||	36.17021296435778
1	0:0	0.1	1.5	1.51	48.14453125||	49.408983577791396
2	0:0	0.1	1.37	1.44	54.4921875||	52.00945656237591
3	0:0	0.1	1.15	1.41	60.7421875||	49.88179670834372
4	0:0	0.1	1.16	1.37	62.109375||	53.664302798873145
5	0:0	0.1	1.11	1.54	65.283203125||	47.28132385903216
6	0:0	0.1	1.05	1.36	65.869140625||	56.501182294624634
7	0:0	0.01	0.852	1.14	72.021484375||	64.53900735372629
8	0:0	0.01	0.687	1.12	76.5625||	67.13948020303785
9	0:0	0.01	0.639	1.06	79.296875||	66.66666696426716
10	0:0	0.01	0.594	1.04	80.078125||	69.73995294413105
11	0:0	0.01	0.539	1.11	82.373046875||	66.66666692819437
12	0:0	0.01	0.452	1.05	85.107421875||	67.13948041045637
13	0:0	0.01	0.418	1.12	85.986328125||	66.19385340985959
14	0:0	0.001	0.391	1.09	86.03515625||	66.66666692819437
15	0:0	0.001	0.431	1.05	85.107421875||	67.37588702984172
16	0:0	0.001	0.336	1.06	89.35546875||	68.55791988327712
17	0:0	0.001	0.39	1.09	86.962890625||	69.03073304990222
18	0:0	0.001	0.355	1.08	88.18359375||	67.61229336966296
19	0:0	0.001	0.361	1.04	87.744140625||	68.08510660843365
20	0:0	0.001	0.409	1.08	86.03515625||	68.08510664450644
21	0:0	0.0001	0.388	1.06	86.474609375||	68.08510688799775
22	0:0	0.0001	0.389	1.06	86.9140625||	68.55791981113154
23	0:0	0.0001	0.384	1.12	87.255859375||	65.01182059249697
24	0:0	0.0001	0.35	1.06	87.40234375||	67.84869995297551
